"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59"
"gene_0",0.0316706518990692,0.0174130729987884,0.0193145176666406,0.0390341566160226,0.0185210604742355,0.01701371990128,0.0173998284776812,0.0468829110796901,0.0420450223700415,0.0548993896432032,0.025011099508193,0.0381932564212525,0.024260995633387,0.0192226296220159,0.017961353474482,0.0174934474990127,0.0313698393960239,0.0226230621479345,0.0525068837475333,0.0185534609785568,0.02131020074938,0.0309062420722919,0.0168933085455824,0.0662991774976214,0.0196615245537809,0.025004879633478,0.0490804229611772,0.0420242153920931,0.0166974474008821,0.0383912933589224,0.0371848194899806,0.0352497336848019,0.0305884652716155,0.0309553131985209,0.0179208864136596,0.0299759499850669,0.0564631114471658,0.017004070659273,0.032359050922234,0.0329302093726831,0.0327067235627313,0.017586131870143,0.0827684538899301,0.0263618559872307,0.0207855077408439,0.111460580732598,0.016728926186453,0.0476028668822808,0.0192564719828073,0.0295835578903879,0.0306910792663467,0.0268719730643868,0.0194647012701978,0.0708170310097835,0.0513714481458698,0.0191842536168991,0.0344232372302886,0.0600096498981158,0.0378625918930482,0.0261722708175516
"gene_1",0.0316471204316123,0.0174578304595526,0.019480643072639,0.039147715353643,0.0192150040025799,0.0170197154779357,0.017696215398042,0.0464589836007815,0.0427346642004031,0.0552162997748336,0.0246146659536669,0.0385470318383345,0.0236778726916575,0.0193593869548058,0.017908120070643,0.0171793512021111,0.0313995875525897,0.0217826973085547,0.0524804602167662,0.0190644721757033,0.0214824060984969,0.0302868838533042,0.0170382962914952,0.067437418283342,0.0197787031622925,0.0252731253487129,0.0482000338795519,0.0432960311985083,0.0168618334656348,0.0385267515234331,0.038026452357902,0.0362727030365642,0.0296870145203856,0.0308730292971563,0.0177288207966742,0.0306540964312947,0.0524129505346368,0.0164964258965969,0.0328761218634789,0.0322314908844236,0.0325097815638273,0.0178704198016919,0.0815969605444418,0.025989713475041,0.0208789832538141,0.114780765597639,0.0166363090944358,0.0472709293993307,0.01960992142614,0.0296838154044344,0.031426994016573,0.0271414486808596,0.0199281091934837,0.0717990210729538,0.0514942499687336,0.0191703994012493,0.0349696070996388,0.0549013707485063,0.03847964689298,0.0263331114859385
"gene_2",0.0317811448513146,0.0176811987344379,0.0191985676403856,0.0388182530614019,0.0189474769521127,0.0169018563292938,0.0175384751583348,0.0474126276803785,0.0427225376166909,0.0564181272193553,0.024788564595822,0.0385385936389214,0.0237622293905349,0.0190823532883327,0.0176957276305086,0.0173146829530352,0.0315961907667208,0.02177369242196,0.0536615825759394,0.0188009994269112,0.0220011908273448,0.0299961369022849,0.0171872935107979,0.0643912185637069,0.0202101979623924,0.0258759250414492,0.0494897006456322,0.043305060753873,0.0168615128225541,0.0382806347800356,0.0379566172169429,0.0360598909656114,0.0298342012511463,0.0308186894167927,0.0179361371971103,0.0303592706954896,0.0556178166488127,0.0163459750304977,0.0334386400257501,0.0324394835493607,0.0325630187251972,0.0181854912819633,0.0858737606223114,0.0261321821638899,0.0205737793443503,0.103860530745748,0.0166923075171917,0.0482371112807344,0.020118583402051,0.0300322034966862,0.0311380171785873,0.027714569803799,0.0196191141273321,0.0675675997377543,0.0496299450432772,0.019522491473132,0.0354384060793582,0.0588977022786195,0.038518116638103,0.0268445227879664
"gene_3",0.0316279778071395,0.0174884856924071,0.0193815666732509,0.0390462173497497,0.0192867598810456,0.016930077170506,0.0176812259193611,0.046637069103664,0.0429067406817859,0.0557161914281306,0.0244932836873314,0.0386096244579413,0.0234757448369178,0.0192533313092347,0.0177688702371396,0.0170750304899733,0.0314147035413146,0.0214808302553285,0.0528673891553087,0.0190790238880187,0.0216392909577811,0.0299667856669949,0.0170771411250932,0.0670004166685443,0.0198935841561551,0.0254821896386294,0.0483759631518522,0.0436255552945195,0.0168589103949181,0.038454602459543,0.0381954413050811,0.0364460382747645,0.0294288175619527,0.0307733984615385,0.0176821586836091,0.0306953627710973,0.0524617911998363,0.0162492677263144,0.033149906388393,0.0320504073062425,0.0324152881513786,0.0180048130602457,0.082946876491391,0.0258661920427599,0.0207487627817095,0.113357675999554,0.0165734447449986,0.0474811369754875,0.0198243611361378,0.0297641536513432,0.0314874843105227,0.0273409576617394,0.0199105664885019,0.071021470909253,0.0509992602803086,0.0192208201563729,0.0352260706941067,0.0549828910690963,0.0386200199656607,0.0264805675505422
"gene_4",0.0316525094708762,0.0175498415919731,0.0192663766642453,0.0389156597790675,0.0191872157572682,0.0168704694986882,0.0176131816214808,0.0469792105641086,0.0428976626981431,0.0561747818133777,0.0245251554700998,0.0385935533984143,0.023473547677256,0.0191394005657776,0.0176745129580193,0.0170977237494721,0.0314619156348004,0.0214427552511263,0.0533085421710827,0.0189772143071121,0.0218053274251377,0.0298350009733033,0.0171148522988656,0.0660004060839723,0.0200286087309448,0.0256778891761374,0.0488349926367447,0.0436466523159281,0.0168442770530837,0.038352743081923,0.0381765949909672,0.0363767093294184,0.0294515203207558,0.0307393338556322,0.0177323319266415,0.0305873629407698,0.0535599731171418,0.0161688392387492,0.0333347514599691,0.0321007173463176,0.0324191570246148,0.0181043453324307,0.0845722593911261,0.0258873924732674,0.020623994552339,0.109938245874457,0.016573205818431,0.0478306456029188,0.0199931248696025,0.0298655799103109,0.0313829505084676,0.0275253572120559,0.0197913385546395,0.0696322780188659,0.0503575591243653,0.0193250539512916,0.035378700864498,0.0563502240781358,0.038637358098976,0.0266411028909226
"gene_5",0.031694045933673,0.0174308680450535,0.0193113781334508,0.0390342624326625,0.0185047566077089,0.0170197122114191,0.0173968201283888,0.0469235824619284,0.0420452905061385,0.0549250278239773,0.025043895313631,0.038201877621635,0.0242949155980512,0.0192203955569383,0.0179659738237265,0.0175183047076345,0.0313944189630236,0.0226596376050596,0.0525409994102436,0.0185418610430617,0.0213384776375007,0.0309262904872942,0.0169051429554716,0.06612209811382,0.0196867792850748,0.025036392341938,0.0491394945453904,0.042003316608158,0.0167031793973492,0.0383946834223639,0.0371720492851112,0.0352291624414112,0.0306263968927475,0.030965825103867,0.0179452471935647,0.0299611050784964,0.0566469180846099,0.0170232897269711,0.0323863259991316,0.032963692164275,0.0327228985031202,0.0176006446920172,0.0828745397996191,0.0263932141321608,0.0207838557204732,0.110657457000259,0.0167439131506696,0.0476412844021087,0.0192774992784255,0.0296119920589766,0.0306750602859864,0.0269035046980008,0.0194531370772988,0.0705693870265583,0.0512915029678993,0.019209902070692,0.0344466816788962,0.060237910191103,0.0378577794638783,0.0262039413905341
"gene_6",0.0316605616721932,0.0174300635222385,0.0193312323822167,0.0390383312676464,0.018696457270369,0.0169942985542003,0.0174655113560116,0.0468347578223529,0.0422425602906807,0.0551030065648548,0.0248886057959748,0.0382895060011655,0.0240739407232064,0.0192307938939362,0.0179163369118832,0.0173937699926453,0.0313798865647084,0.0223472525314792,0.0526038209380715,0.0186752747411548,0.0213845388753179,0.0306840322126391,0.016935514199707,0.0664738233238386,0.0197139906664505,0.0251126318824677,0.0489238577912233,0.0423985522990449,0.0167349485412387,0.0384070726402519,0.0374242120305187,0.035530040638768,0.0303104457968435,0.0309161165490555,0.0178642166364168,0.0301463253110504,0.055484485686142,0.0168210905954891,0.0325378993502825,0.0327228487688168,0.032641955721696,0.017681231093017,0.0828427625345751,0.0262448667068132,0.0207781459552458,0.11195235180726,0.016692165529527,0.0475844298283664,0.0193844600573811,0.0296244889902045,0.0308792247028161,0.0269780054596105,0.0195689153309802,0.0708826435497367,0.0512916482018998,0.019191923540989,0.0346052609058683,0.0587662665335751,0.0380446724861711,0.026241963606342
"gene_7",0.0316337557821342,0.0175463640037212,0.0192889580959101,0.0389339148575965,0.0193358177372049,0.0168585183416619,0.0176671679570509,0.0468732415317516,0.0430486117559708,0.0562420521912063,0.0244233042539422,0.0386640679390294,0.0233334788045789,0.0191554442441674,0.0176492854008739,0.0170152514172776,0.0314547458211034,0.0212528582586822,0.0532955059506662,0.0190808034619903,0.0218304670673811,0.0296916714967993,0.0171347883425362,0.066301643312753,0.0200412331084967,0.0257249491929571,0.0486317878258902,0.0439253572896622,0.0168684690653167,0.0383749630834385,0.0383514414711066,0.0365942695160461,0.0292442022374533,0.030703522821393,0.0176755507070796,0.0307235552515954,0.0527208546082322,0.0160498548199517,0.033440842590364,0.0319335733030563,0.0323583064306036,0.0181577541115174,0.0843606420685005,0.0257910161451599,0.0206296322956893,0.110924457855567,0.0165392799672601,0.0477453328814273,0.0200633820062827,0.0298734617837681,0.0315326052517801,0.0275723481228818,0.0198824771232174,0.0699188995025991,0.0504023918643114,0.0193073865257604,0.035492021514313,0.0553099128752044,0.0387600032142824,0.0266625115794028
"gene_8",0.0316662770352593,0.0174538178309912,0.019305347023135,0.0390047495059429,0.018723955727888,0.0169730653555392,0.0174679576249344,0.0469101387092343,0.0423056472565648,0.0552788665947356,0.0248608358956776,0.0383179857182372,0.0240160791102864,0.0192026612304938,0.0178775605087392,0.017371033453719,0.0313983832027482,0.0222511711808828,0.0527453309583232,0.0186855050254175,0.0214552585782255,0.0305767264566213,0.0169603229720469,0.0662470032703694,0.0197692438930509,0.0252023394099371,0.0490002727843297,0.0425120060822096,0.0167437051692542,0.0383854098275915,0.0374878698507624,0.0355930414088814,0.0302363008055869,0.0308945710757116,0.0178623675104589,0.0301670350576383,0.0555212949280648,0.0167444040547653,0.032647769040333,0.0326761054359815,0.0326231661699833,0.0177393219617501,0.0832824930584652,0.0262157293413459,0.0207421490065489,0.111123518157202,0.0166822756183942,0.0476699816349546,0.0194718012213937,0.0296678442275944,0.0309060758131093,0.0270643692060113,0.0195687305379296,0.0705042236965689,0.0510824837625623,0.0192249224267484,0.034707544100252,0.0588127298782352,0.0381007995208478,0.0263104163923
"gene_9",0.0316624301096637,0.0175264721536298,0.0198712453757113,0.0394216269464854,0.0200889420154036,0.0172006764869493,0.0181513361958368,0.045528796518634,0.0434316455352819,0.0546392126372701,0.024303710460887,0.0389390184160798,0.0232451467613725,0.0197222481019518,0.0180804777479167,0.0169759481032345,0.0314419488319302,0.0211837137962125,0.0516668399658473,0.0197614581290271,0.0215493737939524,0.0299326912821879,0.0172273281631761,0.0693257579748071,0.0198289004865372,0.0253973734249777,0.0467093478304928,0.044385500436778,0.0171310522730763,0.0387954153453604,0.0388083868411706,0.0373136001440501,0.0289763557455221,0.0308943717336576,0.0175973025217822,0.0314592472570058,0.0476999194620101,0.0162729239222603,0.0332425370144808,0.0316231618099385,0.0323721632161926,0.0181192146589239,0.0774772063588636,0.025707507443473,0.0212140953982023,0.120249761830746,0.0166560684820628,0.0463970882823241,0.0198480484848585,0.0297404582607057,0.0322771194576124,0.0272768474286957,0.0205980128654468,0.0738353039443505,0.0522014801139934,0.0191343672129158,0.0353923829182178,0.0491011109311318,0.0389973134024459,0.0263908906926418
