"gene","SE_Intercept","SE_x"
"gene_0",0.0471352313972661,0.0517215816471105
"gene_1",0.08365745374888,0.0917549849203402
"gene_2",0.178238215734989,0.196883482181313
"gene_3",0.0771466189712411,0.0846692343490134
"gene_4",0.070248513010362,0.0772569586152459
"gene_5",0.0410645746354966,0.0450895940498726
"gene_6",0.0469833498107636,0.051555189486086
"gene_7",0.120303529729812,0.132247882324562
"gene_8",0.0591144049847076,0.0649054675332346
"gene_9",0.23042648905568,0.252521824071713
"gene_10",0.0456587737720649,0.0500905672237765
"gene_11",0.0419256448010171,0.0459981079923191
"gene_12",0.0436466518992023,0.0479122592855161
"gene_13",0.0489198706729042,0.0537141530183668
"gene_14",0.0430928526690759,0.0474385763315096
"gene_15",0.0640047066672608,0.0704255728295759
"gene_16",0.252218028243496,0.27789815282351
"gene_17",0.0956707440537339,0.105302376043427
"gene_18",0.0436998066431808,0.0480275562067336
"gene_19",0.111000912347405,0.12219896730754
"gene_20",0.0461140757181661,0.0506706141892442
"gene_21",0.0474980393530477,0.0520988941527919
"gene_22",0.0588682128733602,0.0646627888271221
"gene_23",0.0461576283235867,0.0506372222903031
"gene_24",0.0465976518204267,0.0511281663153675
"gene_25",0.0441993705105434,0.0484951993239923
"gene_26",0.0436531385356568,0.0479015127574349
"gene_27",0.076937814822695,0.0846197589193713
"gene_28",0.0496912250926299,0.0545449963107314
"gene_29",0.0936679557640835,0.103099694209901
"gene_30",0.147079248258673,0.161758796677757
"gene_31",0.115231952944422,0.126479569375771
"gene_32",0.045024062798476,0.0493948875751173
"gene_33",0.216682202366571,0.239511311175826
"gene_34",0.0484799975653092,0.0532014468212582
"gene_35",0.0792919444751322,0.0869885717597115
"gene_36",0.0497491810779368,0.0545828425450998
"gene_37",0.0556751425382207,0.061134416114138
"gene_38",0.0469631404426056,0.0515304067484328
"gene_39",0.0885745776132868,0.0978588698416561
"gene_40",0.146399513664364,0.161475592875174
"gene_41",0.0601276054574048,0.0659918713781871
"gene_42",0.181426708493013,0.202217807879358
"gene_43",0.0579516645819078,0.0635993256190245
"gene_44",0.0519520837123413,0.0570337001770841
"gene_45",0.0442642826649681,0.0486465641959975
"gene_46",0.154067646536649,0.168993629578084
"gene_47",0.0591422066390654,0.0649111556479485
"gene_48",0.0474044734294542,0.0520076486628634
"gene_49",0.0892559394279419,0.0980050898183522
"gene_50",0.126118616905126,0.138427670794404
"gene_51",0.0394595086035993,0.0433081845731025
"gene_52",0.0477072024607933,0.0523364846494275
"gene_53",0.049305260642851,0.0541785769398561
"gene_54",0.0385234609379149,0.0422985298840475
"gene_55",0.0578258140179684,0.0634650391614584
"gene_56",0.0460034625947932,0.0504920234585366
"gene_57",0.0649392521186925,0.0713242637665975
"gene_58",0.229699883794498,0.257059682327949
"gene_59",0.14757923187211,0.161932131850428
"gene_60",0.0485043605806343,0.0532227983831904
"gene_61",0.127378674780167,0.139881114760957
"gene_62",0.0576802779439091,0.0632934369064237
"gene_63",0.0682061323298225,0.0754193872306876
"gene_64",0.0630087887338312,0.0693164107657193
"gene_65",0.0502157229176959,0.055924575173834
"gene_66",0.0953099082006076,0.105063788461094
"gene_67",0.249711861887199,0.276041622960729
"gene_68",0.0873258174098484,0.0964611108192556
"gene_69",0.0488201686768816,0.0535672663785312
"gene_70",0.0450717535995798,0.0494483825921497
"gene_71",0.0621811705199442,0.0683441809303364
"gene_72",0.0802571629611651,0.0880655306604311
"gene_73",0.0807306020453094,0.0886534382862118
"gene_74",0.0465897967880517,0.0511443518305509
"gene_75",0.146165511022907,0.161174314075055
"gene_76",0.0590248377848871,0.0647998903995827
"gene_77",0.0437584098006413,0.0480627430235593
"gene_78",0.0418856937747941,0.0459511486956822
"gene_79",0.0441863434217007,0.0485267491695374
"gene_80",0.0523970226725572,0.0575585995757148
"gene_81",0.0381727482691297,0.0418864460009658
"gene_82",0.0417584409159767,0.0458222830465653
"gene_83",0.0401043362269516,0.044002846988745
"gene_84",0.0750198768101734,0.0823366265532652
"gene_85",0.0376941586525867,0.0413677025559859
"gene_86",0.0624849589314177,0.0685950867880741
"gene_87",0.0567500624377623,0.0623027794420512
"gene_88",0.0967038745418553,0.106289479411903
"gene_89",0.145443337875164,0.159701943661836
"gene_90",0.0473659680222345,0.0519987909613832
"gene_91",0.232595920302747,0.257163563416949
"gene_92",0.0497754281224601,0.0547429429276836
"gene_93",0.0426473736203641,0.0468018136886312
"gene_94",0.10612185024671,0.117170766730321
"gene_95",0.0742637359215992,0.0816017315602002
"gene_96",0.0544084901401362,0.0597684534508324
"gene_97",0.088313516066188,0.0973255371893128
"gene_98",0.0496600291729851,0.0545064164820496
"gene_99",0.163265001751306,0.18000490659115
"gene_100",0.0576908449629365,0.0632800245502577
"gene_101",0.0527242104995248,0.0578674249795583
"gene_102",0.0495729839750206,0.0543979089187581
"gene_103",0.0496093917738732,0.054585265691929
"gene_104",0.191162238499483,0.211260166788746
"gene_105",0.24288971870334,0.26666468565689
"gene_106",0.0746899705608927,0.0820391265835253
"gene_107",0.049852345572524,0.0547604099703183
"gene_108",0.0638994845993555,0.0701248293444315
"gene_109",0.07012599610817,0.0772800903557649
"gene_110",0.0515200939867949,0.0565442475594954
"gene_111",0.0472966964885955,0.0519247098457326
"gene_112",0.0507652820694378,0.0557464827900481
"gene_113",0.0440829281826888,0.0483627190297528
"gene_114",0.0639020253164539,0.0702031005001819
"gene_115",0.0390822969383848,0.0428763627590914
"gene_116",0.0451610082091983,0.0495506178478159
"gene_117",0.0953876028807955,0.104670634901858
"gene_118",0.0555397632764642,0.0609352969194252
"gene_119",0.0749675743164353,0.0824854839614793
"gene_120",0.0474659586973098,0.0520772262011385
"gene_121",0.0490267636745291,0.0537960267976668
"gene_122",0.0856469650899901,0.0944053616343476
"gene_123",0.139465467479252,0.153878905998461
"gene_124",0.0677904041099596,0.0744265705720741
"gene_125",0.113255376712734,0.124060771280333
"gene_126",0.0628683299262719,0.0691539922899223
"gene_127",0.133455915048435,0.146319889240298
"gene_128",0.0405947481484117,0.0445359468118659
"gene_129",0.0491547683110109,0.0539510369409418
"gene_130",0.0461929358309274,0.0509074070347066
"gene_131",0.0552772475796589,0.0607561973225774
"gene_132",0.0553297919450614,0.0607792330649658
"gene_133",0.0805414292809475,0.0884557593803226
"gene_134",0.0982566651359753,0.10813131878438
"gene_135",0.0478482717377876,0.0525410017905357
"gene_136",0.0408028301508284,0.0447663923551111
"gene_137",0.0631475980344212,0.0696560436024029
"gene_138",0.133426653216056,0.146359123205206
"gene_139",0.0461125082135733,0.0506330959622643
"gene_140",0.0896731585572971,0.0984077307603021
"gene_141",0.0682100660698599,0.0749026245914078
"gene_142",0.0553890590829324,0.0608049177225831
"gene_143",0.123874286659509,0.135909479245279
"gene_144",0.141050492328464,0.154847414890146
"gene_145",0.074531952530608,0.0820579381256625
"gene_146",0.0681361294802258,0.0747975458707661
"gene_147",0.0421929613541373,0.046324602777914
"gene_148",0.0853684707141949,0.0936311270631925
"gene_149",0.0386509050996198,0.0424132481041622
"gene_150",0.0424085140791787,0.0465239246111503
"gene_151",0.139149445161579,0.153289273864436
"gene_152",0.0478388077182487,0.0524899572798099
"gene_153",0.110857337444531,0.121612452950868
"gene_154",0.0558914320321698,0.0613548697649279
"gene_155",0.0404756406129905,0.0444316192775559
"gene_156",0.0505791112928837,0.0555350969436511
"gene_157",0.0528337960786147,0.0580741324025549
"gene_158",0.0595575804653256,0.0654062073253195
"gene_159",0.0500224555730268,0.0548809044973666
"gene_160",0.0525723078792843,0.0578065119286956
