"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59"
"gene_0",0.0055458089282133,4.31047577922136e-06,1.77988630004074e-05,0.00366368779042037,0.00440834820110104,0.010680506926973,0.00753175017882706,4.12383906949499e-05,0.000855367071743571,0.00589630827132231,0.0154374232803005,0.0100964689614842,0.000320719086382775,0.0180342618534647,0.0184450679040017,2.94621073536721e-05,0.000276628199248538,0.0043640029733527,0.00124178742172904,3.30055680001202e-05,0.0425079245297124,0.0162461400723791,0.000513590240490164,0.00681733545294625,0.0125625948345625,0.0207924377241796,0.00167726472170896,0.0098157293048362,0.00355950045168312,0.00609085090328364,0.00470233046640419,0.00944545434545993,0.0323816989066667,0.0259133923072217,0.0236393145212567,0.00863176947802257,0.00105926807609511,1.50291958942818e-05,0.00386648100115337,0.00211740691683549,0.0219900217835196,0.0303962905487171,0.0206515319075937,0.0185885127532697,5.78408870728998e-05,0.0460949700655962,0.00151342310904152,0.00016464087731948,0.00122642765728864,0.0816891748627677,0.00132410145246071,0.00270859780298023,0.000167478892032157,0.0297804448029818,0.00861363115983412,4.15425631516161e-05,0.0219875658346762,0.00397083593866132,0.0569919614955868,0.0244819572558565
"gene_1",9.31006736486679e-05,0.00227229874845542,0.00680237279263237,9.32661887992494e-05,0.0036415258559889,0.000127966920358597,0.0014269807845269,0.0134233884152445,0.0302550920782778,0.00646658943637865,0.0122721087909925,0.0120347015337098,0.0103022804091351,0.0047469126186233,0.00742061521834743,0.00616494784569145,0.0130932540414134,0.0104894044163221,0.0014805701294941,9.12789986465653e-05,0.0200023142394973,0.00590475782456479,0.002266861907865,0.0123797970909423,0.0207792129982645,0.00657898917413978,0.00098154866922849,0.0341636522561486,0.000453130419967445,0.0584589954475515,0.0297675803393184,0.0452323678604494,6.08537458680025e-05,0.0156856677955525,0.00964904718366171,0.0268042369941702,5.10990502332545e-05,0.00421878034930562,0.0297214289366995,0.00665144280516937,0.00415505761915583,0.0149026079665046,0.0222954230925477,0.0402305252545822,0.00294085602450561,0.00101215157064375,0.0058899110033713,0.00694225680238058,0.00387562306049188,0.000225084547099665,0.120237832900544,0.000887405321998386,0.00373402543601098,0.0389308090461468,9.80225877334773e-06,0.00193566318280351,0.00967270941849326,0.00473884230103902,0.00113496767936425,0.0112339878176773
"gene_2",0.0270730541273817,0.0239387547747881,0.0162316400925245,0.0278351205398397,0.00530482640530154,0.000554081985512274,0.00882451426764762,0.00758005045309339,0.00268516609893604,0.0601889015584039,0.00408117573737336,0.00506970592306652,0.00119567872891338,0.0408911294921456,0.00528199146927327,0.00364616894797913,0.000362097701192789,0.0118606649867017,0.00806206331351785,0.001990381681432,0.0301728736216789,0.0241338186428441,0.170128850989793,0.159321353650853,0.00313657663918283,0.0229770861613317,0.000643506153086156,0.00219791506471524,0.000520718702829269,0.00700690164458148,0.0751098337307157,0.00146323898991663,0.0211869566829154,0.0126468498241663,0.008970733217542,0.000174898705654016,0.0424076857457647,0.0101303360365174,0.00133578925720491,0.0292729703100198,0.0202826446223441,0.00120581707105444,0.00478553957321058,0.0216183009482326,0.00534339785157658,0.125663151777475,0.00120423204344053,7.89040884411856e-05,0.0051763919504301,0.0110698195654045,0.00080692861589751,0.00228217659080158,0.00682937460082624,0.0031019731857138,0.01851610979626,0.000505435471008177,1.85477196440833e-05,0.0627362821337969,0.0371345239797224,0.0235128499067798
"gene_3",0.065804287022319,0.00183878331505028,0.000910559345230291,0.0179619265327345,0.00766348492393321,0.00610368784870937,2.50663878564638e-05,0.00404465142287486,0.0103181102243619,0.0782999967127929,0.00620407364560406,0.00221943886009875,0.00441679467749641,0.00113759892917937,0.00173768851314598,0.0222630053372086,0.0306238379777454,0.0277029665240679,0.00671161850292421,0.000565629154060679,0.0132888487068011,0.0208086868759371,0.00348735272211862,0.0213393749062709,0.00123306453318831,0.0103966958002337,0.00291292064085333,0.0394650200644307,0.00130264110197832,0.0351995343514373,0.0105435646153379,0.0404623085287883,0.0492936900404625,0.00580266297768363,0.00209861636792093,0.00383458135348718,0.0494839700415417,0.00541921717259968,0.00207245714662907,0.000829302088733139,0.0151514713792519,0.00199447329830275,0.349062442057944,0.0205495711593802,0.00260417942543149,0.113210016587101,7.89449869942972e-05,0.0434956376661478,0.00105311447042699,0.0149659907908042,0.000190867408219522,0.000272218955109619,0.0030786012892379,0.00110252009011556,0.0175315071958956,0.000938400773854568,0.00854572927020156,0.00686006841616478,0.00656238568564453,0.00515094499485312
"gene_4",1.21157305020164e-07,0.00256335959607422,0.00689462741490452,0.00100636129241046,0.00146409795439063,0.00580626954570208,0.0502957579421032,0.0259894847989133,0.00243301992659731,0.00437035763329709,0.000128031247005724,0.096568312121681,0.0356914829196988,0.00173302378385212,0.00051167897543198,0.0250808097388975,9.67331511282788e-05,0.00162494830182775,0.0256924389985643,0.00110507245256863,0.00982864376527396,0.000719695426867535,0.0105327139888903,0.0152626820299271,0.00463450734308647,0.00401578747729278,0.00118892070217284,0.000521251568858194,0.00302599704496052,0.0531778448161459,0.000846247178141511,0.0213656113210802,0.00219453137638186,0.000668607518516263,0.0443679868096836,0.00575162727754575,0.0089940634863211,0.00160785576506944,0.00112327220387768,0.0194408592567831,0.00142289536252408,0.00189221952677118,0.0540677079162493,0.00658210611450086,9.04824035507903e-05,0.0307568923569154,0.0334368294627937,0.0594692779410349,0.00957887715031903,7.77750270505908e-05,0.0333381296074619,0.00799910834221371,0.0400298927271309,0.0097930622247471,0.0138080358567095,0.00734036488423011,0.00362434187015242,0.096639530289158,0.0812396639659622,9.18154483535691e-05
"gene_5",0.00507648724671549,0.00210632540242759,0.000161769382332408,0.000289052180123335,0.00572195594102438,0.000847613400695491,0.000778813049701388,0.00150105051461352,0.00499527255160963,0.0155303543913619,0.00610819186600137,2.89750120827558e-06,0.00409319558869222,0.000499253496812085,1.30308971000708e-05,0.000229449681037039,0.0152140354369917,0.000296396721240681,0.024670936754829,0.00249049751965084,0.00114349400147552,0.000518022725930136,3.2824710971728e-05,0.0225766317468436,0.00115500474221022,0.00299942403221753,0.00187336657893818,0.0124673165305483,0.000464514175418749,0.0125854593070079,0.0368163759822897,0.000216510362245401,0.00984467541776097,0.00277424834370634,0.000174997490376802,9.5956968620071e-05,0.0199210960375507,0.000760477025581753,0.00296689259699017,0.00209696788013556,0.00153251903760498,0.000120346404716677,0.00278508955813929,0.000909938412283981,0.00251081292965968,0.00182864109513672,0.00013131923576378,0.00301584517134587,0.000463380509456368,0.00383454904629776,5.97049778348207e-07,0.000517675309247059,0.00624950672196138,0.00697325582650478,0.00707597779868158,0.00314909750534005,0.0140328860047863,0.00122441726665273,0.00031024558066427,0.0049992073444945
"gene_6",0.00557201731009582,6.75927910924582e-05,0.0112088796129116,0.0156732252364956,0.00258790700586212,0.00756591297078405,0.00291055548580505,0.000132713127239642,0.00957635966799509,0.0168349114032644,0.0306117035817941,0.0242002497713561,0.0103156212480375,0.0269780212530807,2.5385439373865e-07,0.00469070079201509,0.00172109638406164,0.0015632580720562,0.110378653009197,6.67730128056483e-05,0.00331837324279559,0.0113321993713574,1.06181361016739e-05,0.0141691291405086,0.00367769535300743,0.0204572581071695,0.0423578851553298,0.0108028154616984,0.00834444649402056,0.00063910752178993,0.00767189948133585,0.0604408719090929,0.00787441897254513,0.0168287315110932,0.0195338265419031,0.00312302486194906,0.00178751955912811,0.00158857000882814,0.0165909416832383,3.76215687685846e-05,0.00616336098250321,0.0150770003759334,0.0523349294450019,0.000271143304573108,1.34727397178356e-05,0.0387760055105374,0.0210256277167451,0.00706351970048245,0.00102861055514649,0.00873241531903502,0.0199160716000745,0.00316782806780616,0.00757674236443359,0.0729155872296012,0.00962597577095612,0.00634655868718695,0.0284080914388705,0.020630266265963,0.00585393803904534,0.0143719051763653
"gene_7",0.0548947467458557,0.000406625328489497,0.0105716033472534,0.00918166250199273,0.0113241947702791,0.00643431484836044,0.0118976044136344,0.0158360213125889,0.246129939784087,0.0518724357646451,0.000431359917646426,0.00127510550771903,0.0143369079214604,0.0030330584873611,0.00965850935207151,0.0250855587003868,0.0136619777175602,0.0103821908082701,0.00189642158003371,0.00194274349433643,0.00161085936270491,0.0543116367595395,0.00181133943933183,0.00100617943904094,0.0097950556594617,8.62336239747744e-05,0.00117926419978224,0.000150281177523767,7.32354148932272e-05,0.00653433877709005,0.000339365844976326,5.68758495715561e-06,0.000275268939460594,0.00980790951648336,0.019645461093676,0.0440761791200185,0.00518585325267673,0.00373532018238558,0.00191793663209142,0.0116758406303182,0.209170417452115,0.0248008804272106,0.0662562098950857,0.0391948318042745,0.00416586600470024,0.0520393273632124,0.00236285664418513,0.00042803044518341,6.7763658986791e-06,0.04349617736563,0.00575400788734846,5.68982493399278e-05,0.12949293926484,0.0501264406635854,0.0229477407496616,0.00131572506697918,0.00630873112015297,1.82420332885639e-05,0.00138846552068561,0.0350782204491275
"gene_8",0.0381213201340542,0.011724855266765,0.00618986702328436,0.00404896787526668,0.000427111810031185,0.0132020884474002,0.00644653717378407,0.0194927115187617,0.0722660770171768,0.022522331602734,0.00503740262912917,0.0348641331445321,4.63664643408018e-05,0.0214993456889304,0.00200418582328041,0.0156158673891869,0.00148933865492866,8.6167737178527e-05,1.37997711191635e-05,0.0123085524369135,0.0277983217443717,0.00482668856539097,0.000788085319270564,0.00907188559910338,0.000870630357561204,0.000566795282840477,0.0103521909660318,0.0247384511927782,0.00523935714373411,0.0133771063022852,0.000641337793938963,0.0138329711575817,0.0249402893887571,0.0196631941942861,0.0046834362199699,0.000376978008567676,0.00138216827680838,0.00277208262656675,0.0245995851972173,0.014399691912589,0.0174226450029588,0.000646014727448442,0.00175041951484269,0.0160670470321839,0.0174167373280828,0.00365683936193915,0.0172095624210954,0.158839867023145,0.00149019696934622,0.0463677304226422,0.00398969720225048,0.00198310024726391,0.000926699389540122,0.00721572790277412,0.00376190330461654,0.00288099507920893,0.000691278139614468,0.00356783127053151,0.0183952928429725,0.164117586138893
"gene_9",0.00195115956719008,0.00136247713993349,0.0372594222195295,0.00496381257811294,0.00164805463320584,0.00489803212928497,3.38174008911526e-05,0.00781073643911623,0.0049841339675677,0.028968446867934,0.0141332851224146,0.00189001729285071,0.00103743779283348,0.0104984445722981,0.0287030266915436,0.00922757058745368,0.0196249025823653,0.000165089049856283,0.222524681970796,0.00134701609706121,0.00593871135995524,0.00201193571215394,0.00338105877136603,0.120580705300119,0.0785805478449668,0.00260692105699132,0.34801187781607,0.0130864305804075,0.0292061387621123,0.0476274273838856,0.000227901383137631,0.0208948174336596,0.00194614524049985,0.0155497616263175,0.00985388375120249,0.0171847885760522,0.0194968842806671,7.19082721717495e-05,0.0217605292595701,0.0150048653943776,0.00608997714516482,1.2808785694058e-05,0.00565341991649947,0.0696098652110142,0.0361886954888582,0.00212174404820794,0.00914865042603316,0.0233256383738202,0.0147403075342569,0.00165935799239347,0.0177144624898084,0.00285257897625214,0.00301609016670084,0.0390615878864598,0.00913586732629423,2.90624737371297e-07,0.012725173837049,0.00147347382768488,0.00272542102596713,0.0164661621360872
