"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59"
"gene_0",0.0333386806054985,0.0329574888704875,0.0334897996493275,0.0335324789314647,0.0334412406543683,0.0332391966643548,0.0335374040584623,0.0336242070338266,0.0334676706868459,0.0336196219065462,0.0334334991926893,0.0329937517705531,0.0336998461516093,0.033432879069924,0.0334351293496382,0.0326437824517193,0.0331219518253887,0.0334774371252131,0.0330768175389109,0.033200642678862,0.033207913473495,0.032965461255847,0.0335258468454165,0.0336256208793737,0.0335751349388398,0.0334137818046079,0.0330993784670539,0.0333245652251276,0.03302443024817,0.0334743232553817,0.0333196332217849,0.0334558121361193,0.0333354794297373,0.0334176360762202,0.0331548703539764,0.0322554345420865,0.0332471366161941,0.0334848194296652,0.03325925837407,0.0334433163064329,0.0335863876491417,0.0336073108401295,0.0326854410886874,0.033507484792898,0.0334802394489209,0.033092730771929,0.0331209771534254,0.0332034827587022,0.0336235934368146,0.0327834512686637,0.0332263408986629,0.0335522563012313,0.0335363276797794,0.0332298805626034,0.0334704860195898,0.0334696808948782,0.0339847357774418,0.0332392697606735,0.0336095410782437,0.0336169765748198
"gene_1",0.033340248883564,0.0326816841849226,0.0336044337194942,0.0336793685355242,0.0335193490836826,0.0331673002076958,0.0336880251096028,0.033840906592466,0.0335656366686179,0.0338328161758559,0.0335058016020449,0.0327438562363897,0.0339746114547741,0.03350471659576,0.0335086539716643,0.0321479672421532,0.0329644537039897,0.0335827547055053,0.0328866470658926,0.0331004810610493,0.0331130735571689,0.0326953441497701,0.0336677147628496,0.0338434016457808,0.0337544055259737,0.0334713174963983,0.0329255202286617,0.0333156632607666,0.0327965317452664,0.0335772960874117,0.0333142218089263,0.0334920971730717,0.0333348971619631,0.0334421872929381,0.0330996019286988,0.031939292774655,0.0332197081869327,0.033530043508326,0.0332355025663849,0.0334757567747686,0.0336630706117412,0.0336905051603631,0.0324916507125992,0.033559707588483,0.0335240507957231,0.033018826643028,0.0330555327713558,0.0331628571748984,0.0337118622343158,0.032618153185873,0.0331926199836353,0.0336183400744359,0.0335974745375591,0.0331972299719392,0.0335112905182471,0.0335102372865276,0.0341872000540594,0.0332094597228495,0.0336934300760024,0.033703182455415
"gene_2",0.0333385107779618,0.0329752858813193,0.0334823975514672,0.0335230230319511,0.0334361692738299,0.0332437540183338,0.0335277108343579,0.0336103202519717,0.0334613315226615,0.0336059571503335,0.0334287987911331,0.033009856632318,0.0336822884480572,0.033428208378248,0.0334303508428013,0.0326760683255687,0.033132045704529,0.0334706290080969,0.0330890327617153,0.0332070247576822,0.0332139517420097,0.0329828865557912,0.0335167104186222,0.0336116656233383,0.0335636214073415,0.033410025544385,0.0331105340040243,0.0333250677589555,0.0330391007494463,0.0334676646844502,0.0333220204040465,0.0334382806000872,0.0333355559310605,0.0334057024772413,0.033181171799037,0.0324086854949678,0.0332600712440083,0.0334630271434108,0.0332704321592706,0.0334276182910803,0.0335496270078196,0.0335674571459652,0.0327787602573582,0.0334823589247743,0.0334591203127432,0.0331279985724813,0.0331521727650563,0.0332227495631702,0.0335813304475413,0.0328629149775338,0.0332422938125633,0.0335205342595321,0.0335069541101435,0.033245319959028,0.0334507998879052,0.0334501130229299,0.0338885286749722,0.0332533465629033,0.0335693574980383,0.0335756929042435
"gene_3",0.0333347946850103,0.0332523765364822,0.0333670599615933,0.0333761309425526,0.033356717178185,0.033313428224073,0.0333771765516259,0.0333955653325974,0.0333623495483114,0.0333945958658029,0.033355066108933,0.0332602812612,0.0334115282789173,0.0333549338255233,0.0333554138325151,0.0331834202160648,0.0332881179242547,0.0333644290547825,0.033278337015081,0.0333051208448132,0.0333066886702154,0.0332541155562951,0.0333747225626576,0.0333958642302597,0.0333851788448044,0.0333508581434869,0.0332832287385473,0.0333317691842784,0.0332669580432954,0.0333637661416269,0.0333307742240373,0.0333616213058153,0.0333343737025976,0.0333529933239742,0.0332931908233354,0.0330828316307844,0.0333142727626413,0.0333681669233509,0.033317035750295,0.033358798862729,0.0333910172302218,0.0333957111391805,0.0331845125335842,0.033373275354333,0.0333671340148623,0.0332789414171288,0.0332854237917157,0.0333043095599311,0.033399360846891,0.033207400960708,0.0333095290384454,0.0333833504777731,0.0333797683782075,0.0333103367972619,0.0333649336262205,0.0333647519445193,0.0334796122096636,0.0333124787884318,0.0333962112039275,0.0333978780222789
"gene_4",0.0333396909883934,0.0323887464860006,0.0337260074813713,0.033836096141727,0.0336012823267639,0.0330883006421353,0.0338488283791789,0.0340741904440341,0.0336690988751096,0.0340622405573679,0.0335814500506815,0.0324777927845592,0.0342720653940356,0.033579862019866,0.033585625045759,0.031630470816938,0.0327949632582436,0.0336942006067522,0.0326828768694514,0.0329914935404004,0.0330097239394877,0.0324082981572573,0.0338189603668987,0.0340778762815137,0.0339465628319236,0.0335310017663272,0.0327388469035087,0.0333038817882678,0.032553355497838,0.0336861948559565,0.0332907518202836,0.0336158295196751,0.0333283908175521,0.0335243277748849,0.032902294554676,0.0308709754812375,0.0331191791763983,0.0336855494272823,0.0331477955551728,0.033585847147762,0.0339310025558702,0.0339818250430403,0.0318237750056715,0.033740143452523,0.0336745301280019,0.0327571494679051,0.0328230355346263,0.0330163597552452,0.0340214370451842,0.0320455760599968,0.0330701522612443,0.0338482877086798,0.0338097663592091,0.0330784912672247,0.0336510776384103,0.0336491425348691,0.0349140958690561,0.0331006228140032,0.0339872475391067,0.0340053331605399
"gene_5",0.0333401481880673,0.0327212195504632,0.0335880117453638,0.0336582732816941,0.0335082099063852,0.0331777537403984,0.0336663887448981,0.0338096712666471,0.0335516266506417,0.0338020908400022,0.0334955012663101,0.0327797139078243,0.0339349152348551,0.0334944834147485,0.0334981770737163,0.032218522274334,0.0329871542471274,0.0335676811239354,0.0329140074736636,0.0331149845650317,0.0331268149984261,0.0327340726287411,0.033647347562894,0.0338120089955485,0.0337286112280873,0.0334631495123132,0.0329505551291145,0.0333170692076337,0.0328292629971608,0.0335625617658864,0.0333153797049525,0.0334846845268683,0.0333350633150948,0.0334371881991712,0.0331109853306007,0.0320037666263762,0.0332253847284021,0.0335207912781969,0.0332404256920332,0.0334691350724864,0.0336473382704778,0.033673430380749,0.0325313131667466,0.0335490145392146,0.0335150893460039,0.0330340258255055,0.0330690001964189,0.0331712399310897,0.0336937409754875,0.0326520150417895,0.0331995870802302,0.0336047920869102,0.0335849436156821,0.0332039775783801,0.0335029478992221,0.0335019457257827,0.0341454647155928,0.0332156247655232,0.0336762120516954,0.03368548664928
"gene_6",0.0333370525206086,0.033102533056952,0.0334294508657381,0.0334554875102486,0.0333997959068426,0.0332760479314377,0.0334584904425907,0.0335113594331235,0.0334159408621526,0.0335085694346553,0.0333950651091773,0.0331249327703562,0.0335573422530002,0.0333946861161351,0.033396061366751,0.032907960973481,0.0332039706217176,0.0334219042481317,0.0331761713933497,0.0332523682364383,0.0332568355538874,0.0331074592520199,0.03345144327444,0.0335122196824817,0.0334814842180092,0.033383011995731,0.0331900708352701,0.0333284054116402,0.0331438681701213,0.0334200030663978,0.033326925343868,0.0333982773338689,0.0333352423303317,0.0333783026087302,0.0332402252238036,0.0327596385766961,0.0332888270392411,0.0334134402113942,0.0332952027359357,0.0333917415750504,0.0334664341148829,0.0334773319400211,0.0329909518016094,0.0334252792878778,0.0334110469666775,0.0332074205152735,0.0332223395637105,0.0332658480708859,0.0334858082356947,0.0330432743372109,0.0332778839475818,0.0334486429226801,0.0334403341139312,0.0332797470432252,0.0334059493242767,0.0334055284615867,0.0336728071954335,0.0332846881182818,0.0334784931755785,0.0334823641424823
"gene_7",0.0333400209030655,0.0324552938516469,0.0336984063866449,0.0338004268718193,0.0335827638796691,0.0331064869874098,0.0338122228830656,0.0340209071316395,0.0336456496119222,0.0340098466504137,0.0335643701147542,0.0325382930634766,0.0342039723599777,0.0335628972022508,0.0335682424114283,0.0317472224779585,0.0328336666648594,0.0336689216054697,0.0327293291781537,0.0330164889174368,0.0330334399214473,0.0324735205023668,0.0337845501074185,0.0340243185255505,0.0339027492955379,0.0335175739849135,0.0327814361008148,0.0333067706450757,0.0326086994332344,0.0336614996891719,0.0333038265892484,0.0335521493086997,0.0333326367800536,0.0334823671826847,0.0330055924471082,0.0314190057465831,0.0331723050465523,0.0336052596592292,0.0331942634812448,0.0335292936980239,0.0337918243147074,0.0338303733206889,0.0321689182767377,0.0336468112787349,0.0335968689805262,0.0328937380542411,0.0329445408551446,0.0330933345600334,0.0338604000858561,0.0323420313276329,0.0331346642102337,0.0337290260350069,0.0336997551807432,0.0331410683928623,0.0335790066832492,0.0335775325725958,0.0345326587088036,0.0331580613036074,0.0338344846772173,0.0338481950012583
"gene_8",0.0333342767458102,0.0319388044015497,0.0339123430598023,0.034078280718699,0.0337249924949237,0.032961607067607,0.0340975069083246,0.0344390118677466,0.0338267749386161,0.0344208462849679,0.0336952655629717,0.0320678477946891,0.0347407477216481,0.03369288598604,0.033701522093497,0.030853232166343,0.0325301943735553,0.0338645003843419,0.0323663175712402,0.0328188248040145,0.0328456823112562,0.0319671096927659,0.0340524164063601,0.0344446161787308,0.0342453306900385,0.0336197258101494,0.0324480823605543,0.0332810244914133,0.0321776120619478,0.0338524654974963,0.0332820047250174,0.0336533660805323,0.0333249502645476,0.0335487329844292,0.0328395798785473,0.030549540937189,0.0330864163390249,0.0337331460140006,0.0331190185179416,0.033619072008377,0.0340143922935036,0.0340726993018566,0.0316188142562399,0.033795650500458,0.033720533575498,0.0326746431125097,0.0327494881628486,0.0329693410125526,0.0341181623542724,0.0318689618341666,0.0330305791295407,0.0339195500423883,0.0338754035545277,0.033040074864576,0.0336936943191087,0.0336914800065215,0.0351467512858592,0.0330652795981186,0.0340789218450129,0.0340996779333206
"gene_9",0.0333401981837657,0.0327036360475547,0.0335953159936122,0.0336676539294862,0.0335131665577479,0.0331731106457026,0.0336760097950234,0.0338235562037352,0.0335578591115057,0.0338157492710773,0.0335000851115013,0.0327637675735001,0.0339525574413066,0.0334990374139368,0.0335028393892666,0.0321871214184805,0.0329770632399114,0.033574386204969,0.0329018429892555,0.0331085401485343,0.0331207095465034,0.0327168483389993,0.0336564047475007,0.0338259638056695,0.0337400794060648,0.0334667856306444,0.0329394254560558,0.0333164493545401,0.0328147082588038,0.0335691160903088,0.0333024863426701,0.0335591925632696,0.0333322625951962,0.033487041582631,0.0329943533312734,0.0313582113067801,0.0331665765750301,0.0336141126200932,0.0331892651506201,0.0335355599688412,0.0338070809589324,0.0338469621740478,0.032130895602954,0.0336570841865008,0.0336054356426568,0.0328788340259345,0.0329312981569985,0.0330849885302701,0.033878028776353,0.0323094310512424,0.0331276864758211,0.0337421190778177,0.0337118425580646,0.0331343029989286,0.0335869643536792,0.0335854400148441,0.0345740605377694,0.0331518597493061,0.0338512157971676,0.0338654007987131
