"gene","SE_Intercept","SE_condition_treated_vs_control"
"gene_0",0.0932496571911459,0.132105924394033
"gene_1",0.0967969580056576,0.136506171127136
"gene_2",0.0615113741563501,0.0870214685190231
"gene_3",0.0578628311811288,0.0818734415905131
"gene_4",0.0863199058731701,0.122375627313141
"gene_5",0.0757564753621964,0.106878807351224
"gene_6",0.0611846110277556,0.0865201423249142
"gene_7",0.0795028500741345,0.112077626768781
"gene_8",0.275275209625196,0.386062083533934
"gene_9",0.0796713131206727,0.113327451353924
"gene_10",0.0548277798775098,0.0774260862499589
"gene_11",0.0680913622472807,0.0958971376916614
"gene_12",0.0738729586759269,0.104442570488325
"gene_13",0.0493674904273172,0.0698071756149662
"gene_14",0.176612708751256,0.25082781115298
"gene_15",0.0614475156111273,0.0869388160177045
"gene_16",0.151312426418741,0.215377851417284
"gene_17",0.204773452521474,0.288714855147874
"gene_18",0.060752281897145,0.0858290300564809
"gene_19",0.106856705125823,0.150748144083988
"gene_20",0.0707842122824008,0.100044256417172
"gene_21",0.0615771937179941,0.0871098905017244
"gene_22",0.075549840149762,0.107283944526259
"gene_23",0.272286695215523,0.389245690569215
"gene_24",0.0940469971775349,0.132933971909737
"gene_25",0.0618212255190519,0.0873955582919187
"gene_26",0.068045386188355,0.0962934332066527
"gene_27",0.0863666141030783,0.12280920356684
"gene_28",0.0787188968361496,0.111121114452265
"gene_29",0.0802093956171196,0.113123055395455
"gene_30",0.0506164974480729,0.0717069734519606
"gene_31",0.0820492445184371,0.116336770043688
"gene_32",0.0754976297184094,0.106793298797371
"gene_33",0.0666606053187192,0.0940490405914368
"gene_34",0.134586674296942,0.19107996716332
"gene_35",0.108343851157801,0.153556012102159
"gene_36",0.154498520330275,0.217426708847486
"gene_37",0.0982461600383878,0.138595027196909
"gene_38",0.150750560926641,0.211334284284532
"gene_39",0.319871210980734,0.505906130893337
"gene_40",0.062078287434797,0.0877912424119343
"gene_41",0.0616321195971344,0.0872297631909834
"gene_42",0.107600709825156,0.152562974357962
"gene_43",0.0685792241669011,0.0970089308954312
"gene_44",0.0986848128565734,0.139012304933171
"gene_45",0.0508009547371829,0.0718560801922734
"gene_46",0.120020655752465,0.174667777438327
"gene_47",0.0616997014497953,0.0873633692833338
"gene_48",0.0974228001953354,0.13791742493143
"gene_49",0.0728299456290159,0.102907823022438
"gene_50",0.0808220157775871,0.11397286242221
"gene_51",0.182822680208723,0.260782532567244
"gene_52",0.0837665998913932,0.118137597007559
"gene_53",0.273027975300038,0.386804084374655
"gene_54",0.0782166962960461,0.110193838532846
"gene_55",0.078250825849603,0.110561332615866
"gene_56",0.256347898291509,0.378299103819934
"gene_57",0.121368755942179,0.172124977728931
"gene_58",0.0868105525476038,0.122298137855235
"gene_59",0.0658019814977547,0.0930102552079616
"gene_60",0.0885182498715166,0.124225643075197
"gene_61",0.0935905547174936,0.130492273358036
"gene_62",0.0784602122309717,0.111009891209001
"gene_63",0.0963371506339491,0.1361553854106
"gene_64",0.0596078668446442,0.0841971944600073
"gene_65",0.065008150061047,0.0921414224800415
"gene_66",0.0968918688492089,0.136720407823644
"gene_67",0.119407932548895,0.165661904050794
"gene_68",0.111374821784875,0.156295706255353
"gene_69",0.284592069985806,0.402458292158276
"gene_70",0.0929579107707595,0.131086943941562
"gene_71",0.0596954426252442,0.084412376403768
