"","condition"
"sample_0","control"
"sample_1","control"
"sample_2","control"
"sample_3","control"
"sample_4","control"
"sample_5","control"
"sample_6","control"
"sample_7","control"
"sample_8","control"
"sample_9","control"
"sample_10","control"
"sample_11","control"
"sample_12","control"
"sample_13","control"
"sample_14","control"
"sample_15","control"
"sample_16","control"
"sample_17","control"
"sample_18","control"
"sample_19","control"
"sample_20","control"
"sample_21","control"
"sample_22","control"
"sample_23","control"
"sample_24","control"
"sample_25","control"
"sample_26","control"
"sample_27","control"
"sample_28","control"
"sample_29","control"
"sample_30","treated"
"sample_31","treated"
"sample_32","treated"
"sample_33","treated"
"sample_34","treated"
"sample_35","treated"
"sample_36","treated"
"sample_37","treated"
"sample_38","treated"
"sample_39","treated"
"sample_40","treated"
"sample_41","treated"
"sample_42","treated"
"sample_43","treated"
"sample_44","treated"
"sample_45","treated"
"sample_46","treated"
"sample_47","treated"
"sample_48","treated"
"sample_49","treated"
"sample_50","treated"
"sample_51","treated"
"sample_52","treated"
"sample_53","treated"
"sample_54","treated"
"sample_55","treated"
"sample_56","treated"
"sample_57","treated"
"sample_58","treated"
"sample_59","treated"
