"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59"
"gene_0",0.000541769781576076,0.00797777400129603,0.000432189441835435,0.027087182662112,0.000482564532862622,0.00323724834462213,1.02253292638511e-06,0.000362968614030369,0.000590945027320205,0.00734269793747205,0.010215952396579,0.00129400768674753,0.0021682657591583,0.00363480817500757,0.025972560425661,0.00352016874310865,0.140813020885836,0.0118886085181291,0.00516282964411118,0.125366140983847,0.0129453968206841,0.00450447087029602,0.00424038501278226,0.0412967002129392,0.00990265843568191,3.43877217604498e-06,0.00709584287689144,0.0185892973949655,0.0105551160115876,0.00928867892611789,0.027649237836498,0.00137112076278758,0.00914330482717439,0.000733132799965462,0.0212500243549881,0.000501685123018761,0.0436285449380919,0.000115377493740238,0.00211074629331272,0.0314621037722844,0.034687326862233,0.0229247904984938,0.0376176282673928,0.00185900506192128,0.0149175826679565,0.0511019955003421,0.00323712744405262,0.000716978896016183,0.000168503194710489,0.137553766919265,0.0107145784963146,0.0131052461923078,0.034180501750904,0.000610226440502409,0.011752415125139,0.00185533532893112,0.0706899338043427,0.0116893565624738,0.0032663903939773,0.0112214229620144
"gene_1",0.0161379417545599,0.00706743059178133,7.2658950016839e-06,9.67142075495787e-05,1.73166190786868e-05,0.00253594867197447,0.0122036765837624,0.0191702278845716,0.0161742640291781,0.00322418558103172,0.000191680700801003,0.000192126327248684,0.0309410131217061,0.000226499217442219,0.0128474593539404,0.0120573628973596,0.0505656942245635,0.0594223048488421,0.000375525042789533,2.7587778056085e-05,1.3794824829675e-05,0.0152129466464712,0.00210141658763516,0.00636812307238695,0.00472343574456467,0.00174028943515139,2.48931795919266e-05,0.000754826641985114,0.0274959081736565,0.0494475702539724,0.000103344845019438,0.0147616338123471,0.0248601969536758,0.0067843676721287,0.00742361284619174,0.00516331602749076,0.0599997357224939,0.248935029069173,0.00146271224610773,3.7253412689078e-05,0.00546396416440081,0.00807894257881996,0.000891299842852588,0.00696171679635082,0.0105667215097385,0.00319642889390471,0.000769350948517084,0.0138628996672282,0.0223371256656003,2.54816211721651e-07,0.0153006512551316,0.0320909338405162,0.00385791486691925,0.00273894632156782,0.031122068921924,0.000290390742707926,0.0205955361705407,0.0339627483807078,0.0133743326518025,0.0261240015991799
"gene_2",0.000911804445156323,0.00354430164271654,0.0251127191107564,0.00750179390287129,0.027758055395152,0.0134566369909698,0.00708787402282363,0.0206622266010831,0.0318162785350213,0.0555662831645052,0.0100853019318038,0.0349792374575862,0.000810006689647376,0.00556346426038286,0.00621456983392743,0.0137734179789293,0.00596680795268903,0.00105466667531387,0.0222307497369981,0.0452438010829938,0.0164650392084962,0.00132851973394116,0.0348803319138054,2.91724471853637e-05,0.000155770953848955,0.00234117225871747,0.000409500657284811,0.00357033807542149,0.000455046925037122,0.000161658307327032,0.0289238064887083,0.000390253537065937,0.00225907024063711,0.00751718247625633,0.0406804403667533,0.0202421499578631,0.0230291847672406,0.00686452600575016,0.0220664293116461,0.000165946843318317,0.0282270096381948,0.00656049090436161,0.00737461879872726,1.78741044311631e-06,0.00102325911066484,0.00122899347856742,0.00101345690983557,0.0216423498322449,0.00244327441437624,0.00136338321600152,0.157637595853911,0.00455743761727444,0.0139590621840859,0.00529114367027624,0.00999756443981179,0.00464706312321646,0.0211261051780409,0.00538727068372883,0.00350441337692193,0.000659122880806206
"gene_3",0.00235524827737584,0.0397028573368743,0.00968259310841366,0.00127035239438839,0.000869100348392882,0.0204277220065695,0.00174826661951913,0.0137047376211157,0.0255165293129513,0.00468732177417673,0.0122253497222902,0.0217114391276927,0.00117003693609579,0.00817165647256279,0.00182680119853238,0.00742232481146713,0.00713120268303918,0.0370767910045914,0.00189639040675394,0.0107907826304375,0.000110011358819184,0.0218475414651523,0.0254180414263838,0.000421199990982983,0.0132451722969916,4.7856156919508e-05,0.00223142126874119,0.00183649149134965,0.0146960231219998,0.0185753315520949,0.0359151602987286,0.000894699393891833,0.0275719315143502,0.0108428963862782,0.0148226372066186,0.0223213589823836,0.00240576788721945,0.0400333640634577,0.0077503413877507,0.00284724748663151,0.00524288051263389,0.0184001778477208,0.00490436097898903,0.000574141804948057,0.000976984256330504,0.0121127256892419,0.00546638755937926,0.0309907355906154,0.00396984348669226,0.0974811688580033,0.0204479719216539,0.000467360752660879,0.038609131965535,0.00481287360543097,0.00507434955817967,0.0279210856675906,0.000698829650141844,9.71974765363816e-06,0.0388687527910308,0.00333908295368975
"gene_4",0.0226034295450791,0.00245066688589655,0.00120370762749861,0.00910459269129437,0.0623842386304966,0.0036290026346501,0.00137730268406328,0.0127512257446953,0.0416428988684418,0.0153019938108889,0.0013554244472794,0.00933058448235792,0.000657834420860047,0.000783692238891497,0.011326930728112,0.0086532341532358,0.000270198171614098,0.0186233805292547,0.0123739494146324,0.00014996287121507,0.000357304435054462,0.00492262103107211,0.00947395190769498,0.0288945132234751,0.0123107360577872,0.00364145512878819,0.00217058675761268,0.00703100292758694,0.00311971832354997,0.00412392481688639,0.00160658229667189,0.0142811974751388,0.0077913231922873,3.80985399251696e-06,0.00691160813961894,0.000581515006827414,3.63016649797404e-05,0.000179401931254608,0.00235751681963151,0.0644725873533605,0.0229391767201023,0.0135989107045186,0.00633264950421058,0.0177509073014938,0.0579113060270964,0.00616235284892921,0.0740472605492328,0.00105528611146536,0.0357730840766003,0.000839202975878848,0.00902443291967755,0.00938493983013036,0.0458854363139118,0.0132653863821822,0.000401539449289306,0.107766760036685,0.000188280840907972,0.000551232157400654,0.00699611652632057,0.0813675093935877
"gene_5",0.000898475717841891,0.0129149516216621,0.000211848724648631,0.000961494521726081,0.0620215279681248,0.0067307005969498,0.00213084076566771,0.0334141853292418,0.00191628771159807,0.00334191110014099,0.0327944336471236,0.008312297113545,0.0320152538239406,0.000174564451572786,0.0112550784533165,0.00082766360961162,0.0182685827068312,0.00663608031929488,0.00241649182137851,0.0225961544924654,0.0105820980660877,0.0180085586061397,0.00117498279352249,0.00496029406656629,0.0126902316916218,0.0014705115665561,0.000899404345785085,0.00416067131283953,0.118847223707415,0.00525250682766094,0.00355418628528079,0.024276634483818,0.0197523263115634,0.00199109581265765,0.0116504077371818,1.69311424613939e-07,0.00443293200308505,0.0140896436881241,2.67857948504539e-05,0.0248835061641023,0.00229360994560322,0.00520632883288017,0.013152482253764,0.00400089545133509,0.0149399204677591,0.000306652017024832,0.0146784401275126,0.00202578930721616,0.0235053427182132,0.000206049203289177,0.000952395056409219,0.000898573957774753,0.0059020638559578,0.0411510153042084,0.121573277654585,0.0544981571507187,0.0825681579635021,0.00780750671967309,0.0230288070927241,1.17055403894693e-07
"gene_6",0.00584014591616794,0.0357590185953349,0.00431424147628307,0.0138759527618438,0.00495775443893864,0.0262127639716628,0.0849322841555736,0.0271027696476467,0.0183037432822482,0.00216075158276034,0.024243869666481,5.65538455693335e-05,0.00410671812151388,9.76986401333383e-05,0.00231664685846332,0.00274868115021941,0.021254821519307,4.05299994844418e-05,0.0315239158754564,0.000127182745258979,0.000640519542979803,0.112516699973893,0.0547403196597391,0.00700251388936973,0.00443903171137917,0.0206066911986848,0.00236843693440489,0.00867584327310734,0.00121870536710116,0.0226304431829853,4.13494503799356e-05,0.0547675139203773,0.0257729273873108,0.000110948927851304,0.00612856997659296,0.00193566111185231,0.00581341940732654,0.0102713494393792,0.0103670734032408,0.0101338430361618,0.0188865370579194,0.000254078580214346,2.45050059440609e-05,2.94763769458364e-05,0.0200375826439159,0.0193438763835448,1.80910793852832e-05,0.00119352186245109,0.0152087512026223,0.00905581547170357,0.0316298243211665,0.0173249871148626,0.00951595051468346,0.056707214567733,0.0480815414289399,0.014199187324199,0.00465528752905865,0.000484780632980723,0.06315682360068,0.00839489271095925
"gene_7",0.006527848122099,0.00849545075782191,0.000342488202078835,0.039277123040566,0.0350300008528151,0.0164818598313514,0.00780492924165422,0.00130891492051842,0.00883744292075981,0.00669594146250928,0.0180478791461222,0.0168571973128704,0.00259558516340229,0.0233290886908819,0.000562319029457978,0.0243414272542792,0.000534045552968756,0.00273910058269452,0.0168128047996521,0.0331258411526475,0.0204049464953367,0.00228746653298514,0.100021748962416,0.00134573229503784,0.00661640805108167,0.00788978310254107,0.00229968176772841,0.00328630869939321,0.0140022110172621,0.00223792229103363,0.0373841201250631,0.000749404801897935,0.00797897085219352,0.0404250547122025,0.0410055404955226,0.0103922110716013,0.000120817543994019,0.00546847367760945,0.00315322288268993,0.00986197032869761,0.0140764453619867,0.00524411207865172,0.0210592344417985,0.0145742057578822,0.0118080960954822,0.0174744958816416,0.00601083144812482,0.00177742047638238,0.00461042884542096,0.0373525830895813,0.018906117716171,0.000167307723301443,0.000559528460382718,0.00450412478577922,0.00970005705600768,0.0087922839366735,0.0299404928297363,0.00892525059292825,0.00526164743727001,0.00572632933388594
"gene_8",0.0157923714424101,0.000430554593492099,0.00647728423702315,0.0248783529941099,0.0837239549301259,0.012477137131809,0.0249138242564726,0.0128231922852363,0.128975548118835,0.00802996357786344,0.0166926539438614,0.0213642441163631,0.0261217253472512,0.0115733500795564,0.00588566953284169,0.00415794042793147,0.0221389424115724,0.314530703165932,0.00282649098839133,0.071030809768758,4.89465841712395e-06,0.0142606157760049,0.00688715972010655,9.47883858955534e-06,0.00146541685809124,0.0103755069959447,0.00298042870387373,0.000178171920109521,0.0131063133842761,0.00556337506502346,0.000715512147989327,0.0135178241872693,0.0180547468258538,0.00242134017549463,0.00304564926973495,0.00152729203127494,0.0615846243551538,0.0191818717371523,0.0175018461221687,0.000185288651788629,0.000325409856642194,1.74729665269612e-05,0.0224908053459428,0.0122921147479727,0.00561538196596524,0.00252440887721391,0.0165357506260459,0.00677600566598289,0.0262158831305603,0.00113890602243522,0.0172676000336867,0.00349479585915507,0.0280883560556316,0.0174046989093077,0.082382062582248,0.00100804057955181,0.000191840596711613,0.173617625963015,0.0261390819637858,0.0106279044420324
"gene_9",0.0233024952059733,0.000740346922776108,0.0037157806845562,0.000264760259177063,0.0140212910788512,0.0346478310156518,0.0134679090824344,0.00386626515902645,0.00895057407951449,0.000425447881388206,0.00475014791021491,0.00620625274254003,0.0225906704568704,0.00752075072936333,0.00758746061031546,0.0273048949998307,0.000714243858243284,0.0185255460940569,0.00111735398786247,0.00351923178321364,4.76179401429832e-05,2.24583346349405e-05,0.0142611484505515,0.0312671044304184,0.0130487494733127,0.0111785244269719,0.0197329556635135,0.00507452517896997,0.0054150653772626,0.00354283526330972,0.000357380453617775,0.000965627043687603,0.0155293192419959,0.00599507779493662,0.0203978464185669,0.000130201981451754,0.00211392868123596,2.14444627570151e-05,0.00840183377387949,0.00578304934205379,4.51809426069749e-05,0.00740905183158343,0.00864053127883964,0.00143212078539759,6.63013690256982e-05,0.00146163831370434,0.00235704908627259,0.00659122678332198,0.0279556291145174,0.00100270134195784,0.00368092118905919,0.00354115946540819,0.00607720063573021,0.000245778076310883,0.000797841201686452,0.00241010600563618,0.00401975240203463,4.35559393905861e-05,0.00771380027745236,0.0224857489694094
