"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59"
"gene_0",182.085594783035,144.064893554426,202.985497048635,209.745421021902,195.786565024982,170.445397536299,210.553441897242,225.845741051165,199.64287511485,224.984713884336,194.683966909891,147.015722806256,241.026317886506,194.596159344918,194.915155177949,122.556467502424,158.431098848311,201.104986965196,154.225677820602,166.308103593218,167.073630637022,144.703979204519,208.666732996275,226.112526138429,216.948039510439,191.92873897181,156.300959998787,180.342588348509,149.60283821089,200.636589173328,155.211122837758,168.665631853194,156.670640076361,164.675567457774,141.436593682643,94.2626839903946,148.850260601201,171.822634752964,149.879153009231,167.339491277932,183.823374789304,186.496895414572,112.451439145021,174.368893988123,171.316708090457,136.825565619957,138.885876454076,145.253259572897,188.629485078422,117.537529580503,147.115950144351,179.61615803239,177.715118832547,147.40844160257,170.248709562607,170.161115623665,251.77701777479,148.189653449697,186.786264257784,187.757245236053
"gene_1",96.9979219882179,76.7441011623351,108.131406171498,111.732452036694,104.296498486127,90.7971297409688,112.162888864629,120.309174363601,106.350774474874,119.850500814728,103.709138865069,78.3160229055711,128.395944815515,103.662363328831,103.832294030728,65.2864532645573,84.3970517541891,107.12964889032,82.1568025941206,88.5931722252113,89.0009723730663,77.0845453369845,111.157829441842,120.451292135811,115.569323520649,102.241414936022,83.2623159603092,96.0694135998274,79.6941924334366,106.880131005453,112.417696610937,122.162648421688,113.474808776147,119.272688987973,102.440957758678,68.2734176315549,107.810594568123,124.449230644002,108.555809939654,121.20213949599,133.141233690215,135.077635057845,81.4473314678772,126.293457996767,124.082793567758,99.101241220725,100.593501530679,105.205326576268,136.622246123361,85.1311304189965,106.554452719507,130.093993207008,128.717091577111,106.766301042038,123.309254066918,123.245810747439,182.359304412734,107.332124127481,135.287221704924,135.990492469508
"gene_2",439.399271537367,347.649737791456,489.833803943127,506.146492890545,472.461724120946,411.309766725844,508.096365885355,544.998928750758,481.767566498698,542.921143792923,469.800993000799,354.770521976663,581.631889259876,469.58910045581,470.358884231535,295.746748153938,382.317500216104,485.295857040921,372.169201893632,401.325869060069,403.173198201018,349.191945286976,503.54346032643,545.642720332077,523.527468693687,463.152223501188,377.177162454242,435.193141126401,361.013611253077,484.165544405362,419.952316421487,456.355971804177,423.90130947045,445.560116746294,382.682787533711,255.045075186085,402.741830588763,464.897825354799,405.525688744036,452.767853914817,497.368040664697,504.601743759257,304.258106574263,471.787199289244,463.528947467861,370.206800757728,375.781351675969,393.009480958217,510.37185838079,318.019462209467,398.049333811266,485.984639846186,480.841027706888,398.840723391902,460.63928049358,460.402278937954,681.229153575165,400.95443611312,505.384684529129,508.011852631325
"gene_3",2206.52725293739,1745.78946894806,2459.79387728363,2541.71115631149,2372.55666491017,2065.47044674086,2551.50281547325,2736.81607368793,2419.28772740421,2726.38208020595,2359.19529608314,1781.54784495076,2920.77547224663,2358.13123725214,2361.99685331032,1485.14870651937,1919.88025048419,2437.00571134729,1868.91863477389,2015.33440028591,2024.61111592631,1753.53395804711,2528.63953178898,2740.04899591017,2628.99304155016,2325.80723185612,1894.0670639462,2185.40536680241,1812.89870855764,2431.32963085227,1783.84221049618,1938.4749498542,1800.61644941388,1892.61711981589,1625.53147807342,1083.36149821231,1710.73678902079,1974.75839995948,1722.56185460853,1923.23360959486,2112.68296517502,2143.40975108307,1292.40495210909,2004.02257007497,1968.94378229873,1572.53690950374,1596.21607221739,1669.39643822522,2167.91961474807,1350.8594149036,1690.8043502724,2064.32940196077,2042.48074893586,1694.16595606354,1956.66926988046,1955.66255230242,2893.67452362929,1703.14442772694,2146.73546864434,2157.8949578804
"gene_4",83.712373060621,66.2326645253678,93.3209333504846,96.428753484119,90.0112828318911,78.3608869335659,96.8002345177387,103.830744829404,91.7841900696388,103.43489458386,89.5043723052431,67.5892843033447,110.809891712658,89.4640034905365,89.610659233465,56.3443403679439,72.8374107078437,92.4563841156222,70.9040025523662,76.4587996518274,76.8107444915897,66.526478961496,95.9328354268731,103.953397106091,99.7400988249967,88.2376786423288,71.8580966755901,82.9110400113594,68.7786895946402,92.2410420357595,75.9596985855696,82.5442811254282,76.6739804456433,80.5915596756261,69.2184994778587,46.131778012209,72.8467182179299,84.0893056334395,73.3502540197595,81.8952732673748,89.9624194882823,91.2708297178115,55.0332815509494,85.3354346510457,83.8417071618361,66.9618809095018,67.9701887362278,71.0863603973918,92.3145105127899,57.5223937317948,71.9979536632544,87.9034245470925,86.9730636169006,72.1410978052396,83.3190329824211,83.2761648613852,123.218658761575,72.5234197378066,91.4124456645851,91.88763984586
"gene_5",168.704995072353,133.478253379455,188.069063454216,194.332232937548,181.399146522985,157.920180263188,195.080876222345,209.249417432217,184.972074823457,208.45166303484,180.377573071253,136.212240299081,223.314446262495,180.296218064374,180.591772418928,113.550378714571,146.788754938906,186.326743065071,142.892370194126,154.086916269339,154.796188391094,134.070375680937,193.332812537132,209.496597759062,201.005565432985,177.824813660103,144.815149808085,167.090073846442,138.60924096303,185.892765587263,192.466505558948,209.150505306306,194.276351255448,204.20270429114,175.385671120452,116.88859058898,184.57884322761,213.065284769588,185.854701057572,207.506050722549,227.946566836789,231.261813597957,139.443199312078,216.22272354252,212.437920344787,169.667856301297,172.222704300319,180.118452723681,233.906289540712,145.750105899547,182.428245595937,222.729490299184,220.372143963207,182.790943886111,211.113569738727,211.004950594506,312.211147662534,183.759670299326,231.620639750699,232.824685649182
"gene_6",690.45624568807,546.284321159866,769.707259864939,795.340433830622,742.409397099147,646.317405931818,798.404394275652,856.391757165822,757.032263834056,853.12680045273,738.228419707959,557.473665870591,913.955476589089,737.895459367377,739.105069965773,464.725825990491,600.759998842215,762.576492965245,584.813327070684,630.629067452044,633.531894165313,548.707690670023,791.25012187964,857.403388151664,822.65227542163,727.780781934039,592.682656564869,683.846883314143,567.283832301242,760.800360255531,692.116278061906,752.112524031003,698.624546415872,734.320058722493,630.69300067953,420.335455415482,663.751968752496,766.190207748963,668.339998082821,746.199007896618,819.703817959889,831.625561135577,501.442616358829,777.544467885724,763.934183359571,610.131538830427,619.318861491905,647.712248670728,841.13518901399,524.122472787492,656.018344535029,800.943028465191,792.465928684005,657.32262025784,759.17177231224,758.781174074867,1122.72219450385,660.8061942835,832.915912516906,837.245703632785
"gene_7",106.288858626328,84.0950275186193,118.488762522402,122.434734219809,114.286528572845,99.4941240894467,122.906400397951,131.832977070749,116.537573189799,131.330369520067,113.642908766917,85.8175156350014,140.694338053425,113.591652840434,113.777860338286,71.5399099178002,92.4810152476208,117.391052016295,90.0261840369976,97.0790607147979,97.525921960634,84.4680811058278,121.805071454918,131.988707580116,126.639120070209,112.034599042345,91.2375888947493,105.271413151167,87.3276929986794,117.1176340848,119.716951723366,130.094641007569,120.842701937645,127.017037174376,109.092425518509,72.7063948914856,114.810711607514,132.52969048619,115.604313641239,129.071766458861,141.786063285431,143.848194747241,86.7356879147099,134.49366309561,132.139460735102,105.535861956033,107.125014383731,112.036284165838,145.493097052985,90.6586750820775,113.473008758389,138.540966180479,137.074662645327,113.698612343641,131.315695492885,131.248132813305,194.199851988087,114.301174191518,144.071389806975,144.820323780098
"gene_8",5.53051055095347,4.37570261817866,6.1653061268008,6.3706262176204,5.94665198472081,5.17696125582685,6.39516834563324,6.85964342901302,6.06378021589788,6.83349133369499,5.91316262211505,4.46532855663223,7.32072515520588,5.91049563099411,5.92018453484393,3.72242426655101,4.81204932671243,6.10818913811189,4.68431750150871,5.05129866383616,5.07455012092064,4.39511365360412,6.33786307941595,6.86774652877612,6.58939232920001,5.82947770898398,4.74735032953846,5.47756997930632,4.54390736490596,6.09396242823374,6.83471057895141,7.42717891125334,6.8989803150918,7.25147671391414,6.22815018292263,4.15085047830589,6.55461046998629,7.56619730582673,6.59991767282844,7.36878240684564,8.09464902618026,8.21237731373128,4.95179099726103,7.67832164725992,7.54391886180034,6.02510389536486,6.11582953407181,6.39621678961619,8.30628574548278,5.17575662207793,6.47824023433633,7.90938454029365,7.82567241649338,6.49112007456423,7.49688962379766,7.4930324310257,11.0869827848676,6.52552068180383,8.225119649833,8.26787672705015
"gene_9",148.228084844458,117.277060221806,165.241800234507,170.744764845438,159.381457970403,138.752298760713,171.402540036324,183.851345880386,162.520714866966,183.150420537608,158.483880063991,119.679203945602,196.209203369431,158.412399685731,158.672080532312,99.7679716774551,128.971972714648,163.710957508968,125.548519554366,135.384304942465,136.007487724908,117.797312480518,169.866651118903,184.068524194779,176.60810810273,156.240966993035,127.237917901065,146.809177950866,121.785263802547,163.32965492588,111.281578699896,120.928045889201,112.328007457589,118.0672930197,101.405666959786,67.5834314909592,106.721037041315,123.191519409806,107.45872110277,119.977244077482,131.795679165849,133.712510836331,80.6242068631501,125.017108596244,122.828785627066,98.0997023300377,99.5768815298357,104.142098459489,135.241511723468,84.2707765336916,105.47759003787,128.779234763656,127.416248403779,105.687297374765,122.063063686168,122.000261538797,180.516341265166,106.247402127942,133.919979354763,134.616142710673
