"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","dispersion","log2FoldChange_apeglm","lfcSE_apeglm"
"gene_0",168.650601818379,-0.282388058260458,0.132105924394033,-2.13758814796359,0.0325501845147869,0.102520266188305,0.119821331830101,-0.246576102110868,0.127614283758374
"gene_1",104.375673178256,0.16084019966849,0.136506171127135,1.17826321213486,0.238691688982908,0.427092901377875,0.1247128037265,0.134922904247646,0.126906100334513
"gene_2",429.355916887859,-0.117310166875492,0.0870214685190231,-1.34806006922128,0.177639063128813,0.354215479818171,0.0522516657085792,-0.108423266003525,0.0840997459118398
"gene_3",1996.06317567103,-0.358792773669825,0.0818734415905131,-4.38228522827113,1.17440917121848e-05,0.000126963153645241,0.0478029302301871,-0.344041024444912,0.0815134740127245
"gene_4",79.782524459013,-0.192209909470465,0.122375627313141,-1.57065515160652,0.116262771866637,0.268246548874816,0.0954313366782829,-0.167384818666771,0.116315124187427
"gene_5",180.057441845725,0.138101494213496,0.106878807351224,1.29213169229769,0.196311542220879,0.377522196578613,0.0767758091017245,0.12344304879653,0.101851303816451
"gene_6",690.183340185241,-0.0485387722907176,0.0865201423249145,-0.561011239538152,0.574789875110084,0.73315035090572,0.0525037548915643,-0.0446724516866993,0.0831419432468869
"gene_7",112.518542912167,0.119633855908888,0.112077626768781,1.0674196033406,0.285782400155453,0.48274054080313,0.0816774297077079,0.105493207645148,0.105877319297712
"gene_8",6.16742818986539,0.253464362647824,0.386062083533934,0.656537830205088,0.511478135178205,0.682425797435897,0.911364705761135,0.096842132786957,0.246553210456016
"gene_9",129.864121319171,-0.465607244628572,0.113327451353924,-4.10851244836055,3.98215744077822e-05,0.000390407592233159,0.0847253296858388,-0.43480841726094,0.113475308075556
"gene_10",1436.63870548772,0.443665594209804,0.0774260862499589,5.73018236744518,1.00322718251346e-08,1.82404942275175e-07,0.0424899031948583,0.429260930820089,0.0774594051342549
"gene_11",199.269285551719,0.248868970550162,0.0958971376916614,2.59516578430476,0.00945453032159248,0.0372225603212302,0.0612315669554843,0.230343334445986,0.0938975176682165
"gene_12",407.414563652592,-0.0158886149866038,0.104442570488324,-0.152127766602412,0.879086164500429,0.944238629968238,0.0761667385677428,-0.0140379774830817,0.0984927376528162
"gene_13",513.470229022603,-0.0552289101752814,0.0698071756149662,-0.791163797829412,0.428848414098164,0.61598413084284,0.0331783631193726,-0.0523138390625798,0.0680311444196665
"gene_14",18.7372835778735,-0.277209935384552,0.25082781115298,-1.10518021949122,0.269081506151241,0.4611508245951,0.400067500249801,-0.171391877237343,0.20905266793027
