"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29"
"gene_0",0.0665809795512256,0.0663369858423867,0.0667039922533209,0.0668580400105126,0.0668425286253932,0.066585973382273,0.0665824374820864,0.0666047813073786,0.0667539719102619,0.0667740732825079,0.0666527450479361,0.0667444169376128,0.0665833955292498,0.0666648840900437,0.0667307772001466,0.0670521073914635,0.0666389995482802,0.0665421397712717,0.0667420878382414,0.0666106477938291,0.0667302700305172,0.0667337379072646,0.0668409028384878,0.0665114111936315,0.0664642525671409,0.0668674163025469,0.0666981655026783,0.0664991700239433,0.066469701290268,0.0665989812210004
"gene_1",0.0658897498431658,0.0638074771214655,0.0669857835620254,0.0684048239186125,0.0682595226155469,0.0659336232315484,0.0659025531637944,0.0660993269179894,0.0674403973023079,0.0676247893700731,0.0665252672126245,0.0673530619008669,0.0659109689881126,0.0666338413008702,0.0672287385649521,0.0706876816420827,0.066356052749787,0.0654090719258925,0.0673913624399327,0.0660763230081684,0.0672712046006964,0.0673064242853541,0.0684114041748621,0.065113703317682,0.064665037267724,0.0686898463979852,0.0669467212246492,0.0649967052499609,0.0647165924684319,0.0659618310341266
"gene_2",0.0665999386725312,0.0664096070891537,0.0666957801596296,0.0668156914682572,0.0668036228942213,0.066603830981958,0.0666010750314741,0.0666184891644138,0.0667346979159556,0.0667503466552815,0.0666558620071483,0.0667272587237036,0.0666018217587498,0.0666653187366154,0.0667166384494698,0.0670526200594427,0.0666389623223319,0.0665419745961509,0.0667421871990688,0.0666105730773464,0.0667303537118966,0.066733826189124,0.0668411335209555,0.0665112055048487,0.066463984775772,0.0668676822865516,0.0666982066169511,0.0664989482064223,0.0664694406697328,0.0665988910866776
"gene_3",0.0659805892199241,0.0641274406183856,0.0669506441694701,0.0682011150488179,0.068073356448633,0.0660194907521459,0.0659919422449326,0.0661663629506814,0.0673519232587639,0.0675145025532354,0.0665435093778599,0.0672748829913585,0.0659994044919933,0.0666395565282378,0.0671651747078273,0.0785977893846814,0.0656398333586035,0.0631789323347181,0.0684698166683359,0.0649006360170123,0.0681335293724883,0.0682318805826673,0.0714121241578533,0.062434910857415,0.0613252761584995,0.0722435370136729,0.0672358373200168,0.0621431898335412,0.0614515435931675,0.0646010944877087
"gene_4",0.0664252596782239,0.0657473666127799,0.066770437023528,0.0672059677741165,0.0671619475708151,0.0664392277224846,0.0664293372075474,0.0664918685483927,0.0669113416141316,0.0669681203116869,0.0666263557786527,0.0668843742404485,0.0664320168414964,0.0666604483998891,0.0668459025563079,0.0678176368139377,0.0665826220833648,0.066297374803658,0.0668879990158351,0.0664989598198053,0.0668528972683295,0.0668631951697709,0.0671824621646824,0.0662072182591998,0.066069171215301,0.0672617633793247,0.0667576621951029,0.0661713482154473,0.0660851017869881,0.0664645736993351
"gene_5",0.0665403744048327,0.0661820674251599,0.0667214900268646,0.0669487458804522,0.0669258405092774,0.0665477208344595,0.0665425191145595,0.0665753938598914,0.0667951670538796,0.0668248140371786,0.0666459986891904,0.0667810776427886,0.0665439284874685,0.0666638755340812,0.0667609682980603,0.0678688066446427,0.0665787884619772,0.0662811347875559,0.0668975709872228,0.0664914758732747,0.0668609218167798,0.0668716735149113,0.0672050818305438,0.0661870802218724,0.0660430861433834,0.0672879172381571,0.0667614969238072,0.0661496623936928,0.0660597016675226,0.0664555922119218
"gene_6",0.0652169151035485,0.0615429157059823,0.0672292225718261,0.0699197402775313,0.069639694659766,0.0652963988705326,0.0652401013252806,0.0655973919969447,0.0680805041421321,0.0684286244389799,0.0663769011005686,0.0679161950672595,0.0652553460656266,0.0665769509233501,0.0676829322885971,0.0681548496708269,0.0665572049253618,0.0661906191669795,0.0669506615506563,0.0664495928397492,0.0669053826351554,0.0669186648188299,0.0673310407995475,0.066074941744921,0.0658979912991473,0.0674336455397829,0.066782604858423,0.0660289428393045,0.0659184005733813,0.0664053855880705
"gene_7",0.0662629536307457,0.0651454261035366,0.0668378265576821,0.0675688810564665,0.0674947002986124,0.0662861395984117,0.066269721372683,0.0663735778529565,0.0670736404167376,0.0671688523377444,0.0665973844048023,0.0670284569770335,0.0662741692366247,0.0666542153446994,0.0669640405616489,0.0685139939451245,0.0665297692016817,0.0660776407900247,0.0670163453940663,0.066396924324585,0.0669602812394224,0.0669767253170402,0.0674880404875962,0.0659352130788436,0.0657175680377693,0.0676154951401418,0.066808348789145,0.0658786093050787,0.0657426571123912,0.0663423806884315
"gene_8",0.0662529542764322,0.0651087563727738,0.0668419143634665,0.0675912441859469,0.0675151905829637,0.0662767035781858,0.0662598864077272,0.066366269916846,0.0670835790659267,0.067181165234665,0.0665955498262765,0.0670372713103832,0.0662644423297275,0.0666537766373122,0.0669712546677817,0.068679010258076,0.066517033674189,0.0660259704114846,0.0670461600444842,0.0663726887083649,0.0669851588562748,0.0670030500792717,0.0675597473145221,0.0658713977270083,0.065635304901349,0.0676986303070898,0.0668198921309521,0.0658099832533567,0.0656625137048045,0.0663134378628554
"gene_9",0.0665252255971441,0.0661244855404755,0.0667279862611551,0.0669825879221043,0.06695691692017,0.0665334474305811,0.0665276258490282,0.0665644199322745,0.0668105061229097,0.0668437175441865,0.0666434569684758,0.0667947239900978,0.0665292031587741,0.0666634719906062,0.0667722000631773,0.0672517614853757,0.0666244761247238,0.0664779770177502,0.0667806364052429,0.0665815718262868,0.0667627219346575,0.0667679785079387,0.0669305568676957,0.0664315461468448,0.0663603322234779,0.0669708216012217,0.066714071565742,0.0664130558664925,0.0663685576600888,0.0665639224182487
"gene_10",0.0656549902973554,0.0629967943658796,0.0670740421155677,0.0689320768891546,0.0687407360412796,0.0657115280189189,0.0656714870982991,0.0659252623287161,0.0676667245400404,0.0679078059159918,0.0664761146400696,0.067552677714993,0.0656823317287219,0.066616864232642,0.0673904839662336,0.0727661359840169,0.0661791288249887,0.0647933780234404,0.0677158956898146,0.0657678298695066,0.0675363571273172,0.0675889496356585,0.0692527173122928,0.0643649823791617,0.0637176881127604,0.0696762102757271,0.0670530746160727,0.0641957895448261,0.0637918572760939,0.0655999632298141
