"gene","SE_Intercept","SE_condition_treated_vs_control"
"gene_0",0.0936687353262804,0.13248874077748
"gene_1",0.193631144551567,0.275146649689831
"gene_2",0.100725957911935,0.142556814325053
"gene_3",0.228733169740616,0.34810697455342
"gene_4",0.118573813074052,0.167838213942171
"gene_5",0.0953987832221776,0.13558636402201
"gene_6",0.287630016390434,0.392276518657774
"gene_7",0.0844085739922078,0.11947160811685
"gene_8",0.143602896094348,0.203439688775872
"gene_9",0.111150438711216,0.157170708579117
"gene_10",0.200132620671529,0.286620946848777
"gene_11",0.112146788137185,0.157171703405953
"gene_12",0.0804054282898003,0.113754658432266
"gene_13",0.0921443864885479,0.128659531330141
"gene_14",0.0848394124028516,0.120075169409855
"gene_15",0.118429681338003,0.168722169863739
"gene_16",0.204498869830553,0.291604664471307
"gene_17",0.0959198973796739,0.135603524946874
"gene_18",0.21645941703012,0.311811170698502
"gene_19",0.384678481694861,0.542141697997754
"gene_20",0.0892539355737186,0.126263521179299
"gene_21",0.217971472573369,0.309854410881292
"gene_22",0.452752090208143,0.655145092859334
"gene_23",0.097536024320966,0.138008761711463
"gene_24",0.118737700982606,0.168105329623452
"gene_25",0.162204275837065,0.230884405352375
"gene_26",0.117916213396932,0.168389151916071
"gene_27",0.130881095563482,0.185535214253593
"gene_28",0.0977149749331074,0.13818350897778
"gene_29",0.0810762665248474,0.114064965375193
"gene_30",0.457863728080955,0.660670130000902
"gene_31",0.124293944317248,0.17547868544276
"gene_32",0.0698675356433988,0.0986146260118883
"gene_33",0.0977230897396535,0.137830567414798
"gene_34",0.517439457357987,0.720349734971729
"gene_35",0.142368012389756,0.20260035000337
"gene_36",0.09562006798157,0.135257873650885
"gene_37",0.0738142095481195,0.104480179246675
"gene_38",0.40169929528091,0.563596310353639
"gene_39",0.524492937025076,0.77902503127513
"gene_40",0.080521673065228,0.115466798782975
"gene_41",0.112355064772943,0.158925268617173
"gene_42",0.10260532691063,0.145166620937284
"gene_43",0.107657444203355,0.152293290307085
"gene_44",0.0945961642618231,0.132708519874036
"gene_45",0.11112455605476,0.156229680769894
"gene_46",0.111953513458456,0.16472022106061
"gene_47",0.248187295273957,0.356676192965848
"gene_48",0.0835075436213693,0.118145611556689
"gene_49",0.319076996019283,0.451054381835095
"gene_50",0.101231288400341,0.146001980727235
"gene_51",0.161786422741211,0.228992908404206
"gene_52",0.0819286276782505,0.115871036110732
"gene_53",0.0705417104551372,0.0998743720120923
"gene_54",0.164705385966829,0.232451411761802
"gene_55",0.081832384181281,0.116074905173315
"gene_56",0.0908129227097181,0.128417165664408
"gene_57",0.0842625437188729,0.119543591265802
"gene_58",0.108619743395819,0.153491645745994
"gene_59",0.206895926704093,0.295557498858423
"gene_60",0.206678322973631,0.290059666777564
"gene_61",0.0844141713633785,0.119409915880541
"gene_62",0.411884177256184,0.662458403698846
"gene_63",0.0890762933481698,0.125984685386129
"gene_64",0.113946732591373,0.162490851311378
"gene_65",0.144996364883763,0.200689718246665
"gene_66",0.0948961298617534,0.13482676247212
"gene_67",0.085778064067922,0.121675864039918
"gene_68",0.0961162192436626,0.136094215150169
"gene_69",0.466533859375815,0.630162828450925
"gene_70",0.103110108332576,0.146076736648154
"gene_71",0.100021088211951,0.141757709881025
"gene_72",0.0797059644090573,0.113054420404361
"gene_73",0.208238014383509,0.285742410839765
"gene_74",0.46429744735688,0.658842873773789
"gene_75",0.131029722921969,0.185863004109836
"gene_76",0.166563120386716,0.234682185690372
"gene_77",0.165793641935442,0.234523678371695
"gene_78",0.246239435457455,0.348861327528023
"gene_79",0.13042415527072,0.186015516778148
"gene_80",0.120275770486144,0.169845185260152
"gene_81",0.0908572629022722,0.12864099107415
"gene_82",0.0822138771687929,0.116312431061713
"gene_83",0.182910579637559,0.25930322577871
"gene_84",0.120014156916473,0.169177699160471
"gene_85",0.104402318461678,0.148994076926729
"gene_86",0.0789378810579804,0.111655704731358
"gene_87",0.114056080781651,0.160996148632135
"gene_88",0.453090411379222,0.650968608951489
"gene_89",0.0967039533628901,0.136640751528566
"gene_90",0.131205008050051,0.187125228336056
"gene_91",0.0913103545919769,0.129146670942202
"gene_92",0.098020259090078,0.139263110067812
"gene_93",0.178234638535436,0.274382619646769
"gene_94",0.150334143980049,0.209427738411754
"gene_95",0.128020360518022,0.182490500162662
"gene_96",0.103482756115739,0.146408188008381
"gene_97",0.125423109608464,0.177264928693463
"gene_98",0.0774298896777495,0.10975224040349
"gene_99",0.107213678098019,0.151699360739082
"gene_100",0.13296429154185,0.189706645113721
"gene_101",0.196082769771228,0.27207408407313
"gene_102",0.0793142697091237,0.112160346323049
"gene_103",0.109339768839922,0.154632608533295
"gene_104",0.0953472031585793,0.134773680417958
"gene_105",0.0801748577376061,0.113369553398019
"gene_106",0.081436550354942,0.115197602106313
"gene_107",0.184144939561658,0.260585667885366
"gene_108",0.0915611975535438,0.129494592465492
"gene_109",0.203382890141912,0.281825401146082
"gene_110",0.121608641493914,0.172025627790757
"gene_111",0.0904880197550107,0.127095968471732
"gene_112",0.0990910576665919,0.141157419562542
"gene_113",0.0785725286162621,0.111910567284924
"gene_114",0.152705419968206,0.216642973025681
"gene_115",0.0989678938843352,0.140220544110748
"gene_116",0.0937725987563033,0.132613506558452
"gene_117",0.182341781987153,0.251447707277653
"gene_118",0.0889431862213307,0.126889534266315
"gene_119",0.379071122864375,0.530785425992807
"gene_120",0.18674056499663,0.263503698912911
"gene_121",0.318723280355324,0.453761814096686
"gene_122",0.101225391435953,0.142995515149857
"gene_123",0.100880872510307,0.143080863743962
"gene_124",0.294128937674345,0.409874063993466
"gene_125",0.0901286291449013,0.127713797562995
"gene_126",0.235593225313109,0.333178092286082
"gene_127",0.108257299264419,0.153258055776013
"gene_128",0.121219836971593,0.176594526962313
"gene_129",0.0827664731539055,0.116481169300489
"gene_130",0.178753770350715,0.245576536608105
"gene_131",0.117814827831859,0.167560034644626
"gene_132",0.15995225802598,0.226692368317706
"gene_133",0.266391155387997,0.390288968629102
"gene_134",0.0995214401134402,0.1412810825441
"gene_135",0.0832304507707629,0.117711102393039
"gene_136",0.18076816915405,0.249842410374437
"gene_137",0.12602798879991,0.178881118112069
"gene_138",0.108649839879593,0.153792390334081
"gene_139",0.104245012417878,0.147738279269291
"gene_140",0.0865187899462914,0.122366939161878
"gene_141",0.0832057990094857,0.117609573406552
"gene_142",0.0873959600058498,0.123631643943103
"gene_143",0.0916018573642031,0.129772653446259
"gene_144",0.289597214828041,0.408381512530286
"gene_145",0.100315284514357,0.141346861110437
"gene_146",0.193036143433823,0.275986031603759
"gene_147",0.206055182799748,0.288207104107395
"gene_148",0.121258115138833,0.170525132771438
"gene_149",0.0947295346311855,0.133807590657533
"gene_150",0.0999501398370147,0.141500628359828
"gene_151",0.0833778485302969,0.117996615906496
"gene_152",0.0817292421981137,0.115777243613719
"gene_153",0.127223966294409,0.179968383808823
"gene_154",0.409811090072822,0.583190519150084
"gene_155",0.139387544124602,0.198052485713742
"gene_156",0.0750114078243797,0.106114814124671
"gene_157",0.119140817582202,0.175714615912958
"gene_158",0.265656327420367,0.385422273883878
"gene_159",0.142298450014413,0.203066302851227
"gene_160",0.184715791024265,0.262128653565409
"gene_161",0.0981218330572283,0.149955639596654
"gene_162",0.0838509241909116,0.121397177247865
"gene_163",0.0949737842047349,0.134240008926991
