"gene","Intercept","condition_treated_vs_control"
"gene_0",10.4510102378635,0.066004493605307
"gene_1",5.19127990007124,-0.116397914243459
"gene_2",10.6017363894045,-0.299704246364347
"gene_3",4.88795512306259,-2.10616368501497
"gene_4",8.2802461051397,-0.0125221020608711
"gene_5",9.83959826860617,-1.02964454830597
"gene_6",3.16334043127582,2.40541863084886
"gene_7",8.52291464368774,0.0553199322557085
"gene_8",6.95461155766755,-0.0354313308885674
"gene_9",9.23560168417742,0.190682303382792
"gene_10",4.72010439268136,-0.351697526796985
"gene_11",7.03356206140878,1.008294708919
"gene_12",11.3194325844367,-0.107334759319253
"gene_13",7.8161907317557,2.04984603395972
"gene_14",9.63058071417215,-0.0347561437187326
"gene_15",6.4893569283534,-0.215095200241496
"gene_16",4.34259621374146,-0.137063297269373
"gene_17",7.2952290270827,0.170051551114807
"gene_18",3.98209103158076,-0.367783882993431
"gene_19",2.69647490464544,0.299922415843343
"gene_20",10.7058408617343,-0.021763354979581
"gene_21",4.41546419196106,-0.068827323963889
"gene_22",2.98290347949537,-0.965343471232987
"gene_23",10.1149427986477,-0.0735254673352484
"gene_24",7.38447337855021,0.0387263044979385
"gene_25",5.54171834545888,-0.168443477224569
"gene_26",6.8792947913936,-0.428262202982526
"gene_27",6.27459739734548,0.0142568441950724
"gene_28",10.2000198601279,0.171965748847084
"gene_29",9.41412745012601,1.9003055457281
"gene_30",2.31824350415082,-0.582410619658794
"gene_31",8.23664362377294,0.546211077969991
"gene_32",9.28044893695223,0.434786452588319
"gene_33",9.19104824051158,1.02079990914586
"gene_34",1.63759692558594,0.868981724922964
"gene_35",6.64788540333417,-0.326123901238716
"gene_36",12.4904329104513,-0.295868502725422
"gene_37",9.61450961842879,-0.00590081136310488
"gene_38",2.06351108674585,0.401489876204188
"gene_39",2.89228609640922,-1.93113241542181
"gene_40",8.79236113030245,-1.01024483653077
"gene_41",6.81588705547608,0.135256338212392
"gene_42",10.0956984410202,-0.0477116921358888
"gene_43",8.18416804086,0.107869343775625
"gene_44",7.63339595703255,0.960779274681206
"gene_45",7.82941112643628,1.14866654955019
"gene_46",7.74573220975082,-1.9857288310068
"gene_47",3.99984444311363,-0.432006095781721
"gene_48",12.3295791700333,-0.379767911136284
"gene_49",2.92583055105751,0.159932366894295
"gene_50",7.36835340531339,-0.878087690837594
"gene_51",5.76966944756171,0.0956060957954358
"gene_52",12.4457158011677,0.0609575693788788
"gene_53",10.1796168764676,-0.11286004787293
"gene_54",5.60985807068576,0.27185254152564
"gene_55",7.92313032033111,-0.0520386916603691
"gene_56",10.5160692481942,0.198229020822865
"gene_57",12.2494421191648,-1.96584056767809
"gene_58",8.16412434885739,0.269277034515716
"gene_59",4.47386023769847,-0.22826894748804
"gene_60",4.27113392489094,0.45271600710018
"gene_61",12.3460806279315,-0.212166306091717
"gene_62",2.50598875383183,-2.28349010445864
"gene_63",12.274819262308,-0.00297651769615836
"gene_64",6.611745131204,-0.259200048840133
"gene_65",5.82024106967616,2.21449447657216
"gene_66",7.77849189645871,-0.208504562410258
"gene_67",10.0718360501664,-0.640559390312935
"gene_68",8.26079261477426,0.00468824193891136
"gene_69",1.53888722330469,2.85388170372059
"gene_70",8.44382610098121,-0.112335484023263
"gene_71",8.60406128807589,-0.180629337987715
"gene_72",9.20218965272583,-0.269726312608183
"gene_73",4.25256522080806,2.07704190906896
"gene_74",2.01714016550365,0.0206606833176058
"gene_75",6.14436263440663,-0.00611364445825412
"gene_76",4.46386754199118,0.248482131705932
"gene_77",4.88370684027578,0.137218627573161
"gene_78",4.63487187429594,0.0330228127327478
"gene_79",6.35798689028551,-0.300110527388844
"gene_80",6.50588777207161,0.235052965529144
"gene_81",9.64728979490931,-0.153867805591287
"gene_82",10.2266420037524,0.0196769606139333
"gene_83",5.06541403268503,0.0314785598110905
"gene_84",6.50962072314228,0.346563182752448
