"","condition"
"sample_0","control"
"sample_1","control"
"sample_2","control"
"sample_3","control"
"sample_4","control"
"sample_5","control"
"sample_6","control"
"sample_7","control"
"sample_8","control"
"sample_9","control"
"sample_10","control"
"sample_11","control"
"sample_12","control"
"sample_13","control"
"sample_14","control"
"sample_15","treated"
"sample_16","treated"
"sample_17","treated"
"sample_18","treated"
"sample_19","treated"
"sample_20","treated"
"sample_21","treated"
"sample_22","treated"
"sample_23","treated"
"sample_24","treated"
"sample_25","treated"
"sample_26","treated"
"sample_27","treated"
"sample_28","treated"
"sample_29","treated"
