"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29"
"gene_0",0.00810966474688507,0.0555172585060446,0.00112971734275296,0.00797622465464303,0.0332912210697389,0.000122035898005348,0.0111999249311808,0.0476422146202879,0.00723859306095486,0.0306360321309204,0.0318392465483544,0.00516197757365182,0.0709701407396195,0.0301586795178591,0.0518929619129849,0.0192183252532888,0.0427590691501884,0.00322627038730835,0.0155188208485596,0.0824557147764296,0.0215776869715765,0.00374087462899474,0.000192880795867488,0.00331375944644576,0.00598614428745735,0.0229523062582806,0.0230101844748933,0.000614984531550616,0.022614821682603,0.00167423530488409
"gene_1",9.89767827808093e-06,0.03684569759753,0.000187351848217758,0.00804064201820637,0.00211046930285454,0.00341345519968093,0.023357061459053,0.00940997783649544,0.0885609188243438,0.0473902389046536,0.0397430572127374,6.55607899348388e-05,0.0629781083325645,0.0150349378818373,0.218935874520406,0.0218663921060087,0.0935030309658416,0.0309871806616826,0.0170030202977396,0.000759095099888123,0.109395970625399,0.0642190644017987,0.00105334387580549,0.0102663157873269,0.00286979628738026,0.00310692586207869,0.00847201724903979,0.027542269498453,0.0223419437059981,0.00109554341249212
"gene_2",0.016919691354857,0.00730616902389199,0.00296055046052528,0.26055446721083,0.0266925311660778,0.00605883907165939,0.00352674219270322,0.00810922969906542,0.0185202021049414,0.0109207983280834,0.000119125633450425,0.00164213712108456,0.0491890560840144,3.40372326959083e-05,0.0102183587529179,9.72432912000113e-05,0.0107877871081731,0.0183483178707686,9.52604625612021e-05,0.045365645858116,0.0222267984117494,0.00185191610080059,0.0043656841529522,0.102395952126464,0.0629200929077451,0.00738307878668958,0.00095766667866891,0.147310427554255,0.108382102189579,0.0620743495710611
"gene_3",0.0112081931928268,0.00112558113397059,0.000222425756654779,0.000339331427920306,0.0165654985573866,0.0142266304016764,0.00536945036579399,0.109018134526962,0.0124229521264329,0.0272172820994543,1.21157244788547e-05,0.0433336772425933,0.00901174609330201,0.0118444640327291,0.00203878594046281,0.00266707380281309,0.000544369511305296,0.0397859312328783,0.0456508101538467,0.00484200711102119,0.106037251415941,1.96742790338599e-05,0.0141831247854455,0.003377042689496,0.00655900881323165,0.00219112072570632,0.0258849966721366,0.00741368273562888,0.00194586847741157,3.25016918992789e-07
"gene_4",0.00877905334357748,0.00537000957710829,0.00500256513105825,0.0714078814467313,0.0595012967453517,0.00339354110480685,0.00245659698283835,0.0308621048486431,0.0213270982466926,6.25169172050254e-05,0.0328209303391697,0.0456342717027675,0.0837840600134012,0.0205728990412664,0.0118715336180829,0.0119269609044142,0.0140974967320481,0.118255394631215,0.0086554220425822,0.0129039268019095,0.043433689685431,0.0171173107776728,0.0112931318073872,0.0211806459907158,0.0298143699201752,0.00340759931796269,0.00349435742516168,0.0139384259363625,0.0711897068767004,0.026349745407669
"gene_5",0.000229928726063138,9.62189378432459e-05,0.000111237397478362,0.0202895853363608,0.0227581274383397,0.116903143216121,0.00368687065715295,0.0260612381647244,0.0445484691665091,0.00608445106321043,0.0603616258568535,0.0274430240930857,3.2137271934957e-05,0.00669542327275717,0.00177577222498822,5.62095652819622e-06,0.0437574165554055,4.32365838681172e-05,0.0764093755078174,0.0230789744122095,0.00389208346803233,0.000808162841482732,0.0393449109069732,0.0169801969716746,0.000752202979582748,0.00019653125994455,0.00168327770331238,0.0523843413533112,0.00817550058322903,0.0032335104886278
"gene_6",0.000507650912828601,0.00263031341405584,0.00179964195117278,0.000407584599464959,0.000275138764704804,5.39977782592195e-05,0.0105167588537382,0.000107937861875722,0.000869153221995447,0.00582463022889727,0.0353954990830504,0.0125876488843799,0.0105281403692119,0.0156337639870825,0.001261207688764,0.00188855634680508,0.00902475794797241,0.00119634411962996,0.00612297027355312,0.00446261657668881,0.00932109629046841,0.000322737250112532,0.0137100419263982,0.0135254738794561,0.0132083285752198,0.00652086548168596,0.0485559868272424,0.00197952331983878,0.0141519701343876,0.0027970211979015
"gene_7",0.0234367714787609,0.000785563150553964,0.00956338852285557,0.0151555206932189,0.0758683872035393,0.022950397708027,0.0382345836261952,0.0208840667235313,0.0212639308300483,0.0122130097255824,0.0394797114745041,0.0124991726166797,0.0717107373124906,0.021779065954645,0.0157435383905145,0.103057865073737,0.0188277735182847,0.00216526199285595,0.00647193378333378,0.000916787765936125,0.000541875504153204,0.000899455320742618,0.00878732324914609,0.00697376980516834,0.0305834255264038,0.291165658305099,0.00244617482002744,0.00369645787940974,0.00973504755448476,0.002968031296664
"gene_8",0.0335469927193817,0.0236115793655969,0.00469637339369093,0.0993128611796805,0.254048050519653,0.0191124287666939,0.0305897870620307,0.0294825648146684,0.00986304447696183,0.000534437333094437,0.0134860118456994,0.00114280495633715,0.0258266931856484,0.0315147337258467,5.32030253553561e-05,0.00302390544387243,0.0580096720854234,0.000984081418719736,0.0322091770192448,0.00866289096880559,0.0808754724526624,0.084500819028168,0.222432219002919,1.67700445050855e-05,0.00114630297190658,0.0209028907904911,4.48001678047268e-05,0.00202123738529778,0.0118859344731257,0.00141449809155818
"gene_9",0.0193677752287957,0.0206312351982147,0.10052578039312,0.0853536999537747,0.0453656012611841,0.0136037299500651,0.0159312245635645,0.0324698245842721,0.0093816425730606,0.0770742949625041,0.0543249249189022,0.00480748597641308,0.00316990911243081,0.00368932652965002,5.46402913917278e-05,0.00120402836039975,0.0670303126295681,0.00522802195822804,0.0412752146892854,0.0363022514947419,0.0104601504221827,0.033859262321312,0.000511201476186423,9.86808999689096e-06,0.196516162257659,0.00141738690777763,0.000573799954669658,0.00709571020272968,0.000538122438647498,0.00247370069769783
