"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59"
"gene_0",0.0680309566886621,0.0697951048249139,0.0694405503390894,0.0670327178034227,0.0663350724479646,0.0661837598718276,0.0644391205642465,0.0647603409562924,0.0658784412858993,0.0622610827711327,0.0646093444533978,0.0679293480909832,0.0683960960789836,0.0661624304721009,0.0658462581045479,0.0679412633524344,0.0677283990269758,0.0657017897697856,0.067465699448329,0.0653056284402428,0.0657453720247102,0.0678559963232256,0.0664785542896016,0.0672585784058883,0.0677698651309357,0.0679799826037974,0.0682226215905447,0.0652816502052038,0.0661572904662627,0.0677393776382428,0.0673452568724447,0.0669400463328393,0.068244395403652,0.0666826790484912,0.0680304206803652,0.0666804541772574,0.0662373018242848,0.0665891356782608,0.0685534139944148,0.0671068937624114,0.0680342162056909,0.0656030048737719,0.0681409668507386,0.0667666023155817,0.0668134595906268,0.0664625195256714,0.0674782552755252,0.0658585378328273,0.0642124837615515,0.0667080102489389,0.0666648586737823,0.0641478282825504,0.066386073781859,0.06511018016591,0.0657398447417583,0.0638729523834421,0.0682065026525294,0.0658726965457319,0.0656807560277899,0.0680974761361724
"gene_1",0.0667219972940338,0.0667892085962668,0.0667759641197593,0.0666824619786545,0.0666541541221678,0.066647938883752,0.0665742569305203,0.0665881088784872,0.0666353144143976,0.0664767268552834,0.0665823772148984,0.0667174149392333,0.066735389567999,0.0666471661041203,0.0666342142735611,0.0667178767507546,0.066709603049167,0.0666282564049584,0.0666993232140782,0.0666117890199933,0.0665869475792591,0.0667011650510947,0.066627401412649,0.0666695236575976,0.0666966358098233,0.0667076658393015,0.0667203230356451,0.0665609183005643,0.0666097797889774,0.0666950300011913,0.066675042828588,0.0666535191432881,0.0667219378885269,0.0666397199697998,0.066710884378447,0.0666396002402432,0.0666156007098122,0.0666346794815413,0.0667377857807899,0.0666624114209344,0.0667265986227519,0.0666542707515676,0.0667296595982149,0.0666895250824568,0.0666909197967307,0.0666804276490275,0.066710505016237,0.0666621163361123,0.0666105173024392,0.0666877784056675,0.0666877862109894,0.0666095006063984,0.0666793988920646,0.0666401248180764,0.066659691657694,0.0666005892901458,0.0667329653514648,0.06666377368991,0.066657870941092,0.0667298354857198
"gene_2",0.0673076966503261,0.0680655206171338,0.0679149603359589,0.066869060967082,0.066558172783526,0.0664902660606804,0.0656947186452599,0.065842955803542,0.0663527199794718,0.0646679057370241,0.0657157749523036,0.0672304187480954,0.0674368359935354,0.0664346313965556,0.0662897836396958,0.0672357076753058,0.0671410674079249,0.0662233464316861,0.0670238175774254,0.0660403452024381,0.0655961320214214,0.0670127810259443,0.0660915344567528,0.0666147296654296,0.0669555345703497,0.067095104122342,0.0672559246128955,0.0652809692446206,0.0658748951821956,0.0669352598816595,0.0666368272320502,0.0663608712226541,0.0672454604376235,0.0661850577798009,0.0671010792669266,0.0661835360800594,0.0658798114948641,0.0661210515782117,0.0674534691602141,0.0664746234988851,0.0673899294766457,0.0666628485730575,0.0674210149434942,0.0670154718462375,0.0670294911701698,0.0669241560263967,0.0672269160006212,0.0667410329851254,0.0662298323329688,0.0669979221241808,0.0669662417128628,0.0661704957605818,0.0668801635231567,0.0664797397946033,0.0666786937920148,0.0660809957130723,0.067433370601455,0.0667203349910903,0.0666601356034967,0.0674008199285485
"gene_3",0.0685884892173511,0.0715668219363712,0.0709601168220764,0.0669470290130015,0.0658180452507675,0.0655751208182303,0.0628229901415926,0.0633230610800095,0.0650870320710355,0.0595085957990814,0.0633343508379221,0.068583923255597,0.0693472700615868,0.0657515390978434,0.0652540639920418,0.0686033301721625,0.068257256163272,0.0650276794900283,0.0678319855242623,0.0644098462206256,0.0659211435647676,0.0687507587354137,0.0668974065973582,0.0679438257784588,0.0686341258980758,0.0689188276363582,0.0692483356520692,0.0653073033511986,0.0664687622969196,0.0685928657698984,0.0681475929811064,0.0676139882910506,0.0693386243486836,0.0672760819131495,0.06905430712338,0.0672731642127788,0.0666931749180214,0.06715345931093,0.069750204181486,0.0678334666955495,0.0685977022699691,0.0645961217584864,0.068777811805654,0.0664876423782153,0.0665647119126554,0.0659892016470604,0.0676657885387543,0.0650078658857469,0.0623906363036536,0.0663913708035383,0.0664775522392826,0.0625377364076661,0.0660323307285361,0.0640230941599268,0.0650088976602499,0.0621181248768928,0.0689808595842819,0.0652183209416986,0.0649159130880137,0.0688014890991225
"gene_4",0.0678380540990548,0.0700204731276128,0.0695797266659252,0.0666147869555416,0.065764813976625,0.0655809959099116,0.0634751688887554,0.063861020487845,0.0652106638343739,0.060880869704752,0.065155766294384,0.0684855528065215,0.0689535335417367,0.0667136501397294,0.0663965326077765,0.0684974999749667,0.0682840621857125,0.0662516270296534,0.0680206448081254,0.0658542494057181,0.0657408575621522,0.0679495458771331,0.0665073809377423,0.0673237221840081,0.0678592877211004,0.068079491665796,0.0683338572590736,0.0652564454496573,0.0661714130284354,0.0678273419793963,0.0680188295855163,0.0676759456623327,0.068777272031251,0.0674578149493173,0.0685970786570414,0.0674559280809316,0.0670796932564783,0.0673784651371286,0.0690371757036823,0.0678172113083805,0.0675907736570295,0.0642406000900167,0.0677401104623328,0.0658319465531302,0.065896489899586,0.0654139606700746,0.0668160973513337,0.0645881943111319,0.0623673323620778,0.0657512897073531,0.0669767188262452,0.0641175088413475,0.0666585839779646,0.0652072199440094,0.0659225348553572,0.0638070393335301,0.0687425403119659,0.0660736930949144,0.0658553303240269,0.0686172923991561
"gene_5",0.0680644709189956,0.0696347041831782,0.0693198260348368,0.0671720604073882,0.0665466943782897,0.0664108753774276,0.0648401428485148,0.0651299999027413,0.0661366206301581,0.0628669041156315,0.065227713212972,0.068086138850557,0.0684847011595861,0.0665700138184661,0.0662974881939992,0.0680963234779179,0.0679142974077618,0.066172838428447,0.0676894241395863,0.0658306209056061,0.0654812501892859,0.0677368787036188,0.0662636439766568,0.0670973780735281,0.0676446296269258,0.0678697017358385,0.0681297366716934,0.0649870386879248,0.0659206651100047,0.0676119807094707,0.0673308812671948,0.0669153785663792,0.0682533179692852,0.0666515411840372,0.06803374122018,0.0666492606071099,0.0661950901369027,0.0665556590520777,0.0685704904184411,0.067086448235896,0.0678901297545242,0.0652580631595684,0.0680060805349893,0.0665157215645762,0.0665664460829312,0.0661866917849069,0.0672867734629234,0.065533927742414,0.0637600970200151,0.0664523024236545,0.0666196934420538,0.064005788250199,0.0663297823033522,0.0650042290518598,0.0656581425570457,0.0637208198320172,0.0682246516047295,0.0657961749419104,0.065596756873822,0.0681110478621755
"gene_6",0.0679594219130118,0.0700020490110085,0.069590208646004,0.0668108377516575,0.0660111980351078,0.0658380967002496,0.0638507526724258,0.0642154858945879,0.0654891730410616,0.061391525022749,0.0645698250685538,0.0681207487731852,0.0686219157952803,0.0662279066801871,0.0658899290404464,0.0681335366780687,0.0679051301492358,0.0657355705994704,0.0676233881502341,0.0653125244807637,0.0651650398377823,0.0677273108255306,0.0660510705399917,0.0669984245083074,0.0676220475688592,0.0678789433283683,0.0681760463460833,0.0646068479947248,0.0656623051625184,0.0675848023699428,0.0673809138973509,0.066922060847462,0.0684017032381466,0.0666310027702172,0.0681584499853628,0.0666284879363098,0.0661280190804391,0.0665252870895098,0.0687533682271436,0.0671109071558081,0.0680811465696715,0.0656391635601582,0.0681883856907976,0.0668078319880112,0.0668548967144582,0.0665024090391999,0.0675226627326542,0.0658957968581203,0.0642427857639386,0.0667489808701211,0.0670563036120558,0.0646916489097556,0.066794997721907,0.065597187257919,0.0661887096436411,0.0644326711714506,0.0684985949076705,0.0663134161228874,0.0661332327991185,0.0683967444945775
"gene_7",0.0668273139438537,0.0670240702443782,0.0669852377664177,0.0667119317120108,0.0666294771043903,0.0666113913916387,0.0663974745313592,0.0664376212772062,0.0665746753046132,0.0661157039414139,0.0664317783404117,0.0668189649180607,0.0668707242136911,0.0666171783404988,0.0665800615274401,0.0668202940850014,0.0667964862804617,0.0665629967621983,0.0667669211772114,0.0665158598384585,0.0664610343814437,0.066774065874959,0.0665716910226332,0.0666871602324975,0.0667616171212117,0.0667919386431465,0.066826754825832,0.0663899578362458,0.0665234604332037,0.066757204217264,0.0667084768161317,0.0666502951388383,0.0668354628662044,0.0666130275781921,0.0668055038908361,0.0666127043382981,0.0665479514627626,0.0665994212278674,0.06687844590219,0.0666743245153228,0.0668358072705302,0.0665998071021714,0.0668458205615333,0.0667146946006478,0.0667192453715331,0.0666850214192314,0.0667831948864288,0.0666253507040692,0.0664576035045344,0.0667089960290284,0.0667150088963735,0.0664642594171553,0.0666880820281018,0.066562194349853,0.0666248722579163,0.0664357986352735,0.0668603110565298,0.0666379583567173,0.066619036580988,0.0668502309429485
"gene_8",0.0681021387384129,0.0700459049620641,0.0696544574363931,0.0670066280645302,0.066242865152926,0.0660774140941965,0.0641749340751689,0.0645245019305214,0.0657437855050391,0.0618131380779774,0.0643095564680409,0.067967198145734,0.068484478172618,0.0660158468217533,0.0656678120758749,0.0679803939557191,0.0677447273056062,0.0655088997017452,0.0674541043494975,0.0650734988957721,0.0643077280648342,0.0674861760979092,0.0653998847800406,0.0665757331844327,0.0673543820200694,0.0676762116359653,0.0680491952708937,0.063623405421723,0.0649197798322095,0.0673077746511933,0.0666825222614527,0.0660636109205776,0.0680705243616456,0.0656726193972534,0.0677383604038122,0.0656692464770445,0.0649998358938424,0.0655309116651114,0.0685522901958202,0.0663179576924312,0.0683955638600562,0.0666259615362646,0.0684724434846119,0.0674774019391997,0.0675115151551192,0.0672556967512264,0.067994064698051,0.0668136564480183,0.0655974772144259,0.0674347266796918,0.0673960641711223,0.0655232811412211,0.067190529241261,0.06624387770007,0.0667122929863819,0.06531640833717,0.0685242692476858,0.0668108151028832,0.0666684387424159,0.0684449444668066
"gene_9",0.0673590228140432,0.0680404636566391,0.0679052013524669,0.0669638935807019,0.066683527452998,0.0666222529395781,0.0659034764533222,0.0660375382963581,0.0664981023838228,0.0649732183738998,0.0655983766656518,0.067137407794009,0.0673472447902314,0.0663286525451795,0.0661814812935207,0.0671427840555771,0.0670465833149107,0.0661139821704058,0.066927406944725,0.0659280682543468,0.066188171779446,0.0671949375062938,0.0665416749223171,0.0669133291817834,0.0671544984289503,0.0672530550017974,0.0673664674930626,0.0659624712949018,0.066387279253223,0.0671401714240603,0.0667461003495562,0.066525355069755,0.0672316604089866,0.0663845238455649,0.0671166368062234,0.0663833042674587,0.0661396560199559,0.0663332158428199,0.0673971973099077,0.0666163936153708,0.0673839966705443,0.0665027300011398,0.0674217653002031,0.0669296211019105,0.0669466129368316,0.0668189807651583,0.0671860589854912,0.0665972985457957,0.0659798229272091,0.0669083524595897,0.066658180080728,0.0655774978973344,0.0665408209044498,0.0659963473437649,0.0662665727996574,0.0654565423543694,0.0672970181363972,0.0663232063152889,0.0662413413904165,0.0672523951046048
