"gene","SE_Intercept","SE_batch_B_vs_A","SE_batch_C_vs_A","SE_condition_treated_vs_control"
"gene_0",0.129032175214823,0.156634799930278,0.158633879102767,0.12858852911112
"gene_1",0.0769046872024238,0.0941848238934272,0.0941680713050745,0.0768917523124773
"gene_2",0.0824819891122627,0.101178109011537,0.100668282015309,0.0823769154826784
"gene_3",0.41755845973101,0.500589279181594,0.515569819806945,0.413439038614865
"gene_4",0.243100044470843,0.292392203660026,0.299491999246707,0.241370698658327
"gene_5",0.14765217831622,0.179735768508961,0.182274691862506,0.147937955943789
"gene_6",0.185680157405549,0.225354287335205,0.2269520896687,0.184363228771479
"gene_7",0.0948995577570479,0.116185151598304,0.116188403593497,0.0948576710671495
"gene_8",0.16603745017572,0.203673610260434,0.201514285731833,0.165163780618283
"gene_9",0.102984239699768,0.126004835936734,0.126257465916281,0.102962962844119
"gene_10",0.0953985769900711,0.116811027126278,0.116844471410613,0.0953829773099783
"gene_11",0.222042036746281,0.270597283501286,0.271959677715647,0.221258086685307
"gene_12",0.0973959411269661,0.119269816403712,0.119191799497882,0.0973331077700719
"gene_13",0.190029297142238,0.227118039166589,0.239759877668608,0.190725147235296
"gene_14",0.092867677570188,0.11372290349986,0.113731093796091,0.0928535529662908
"gene_15",0.0996045738853385,0.121905180243878,0.121950927636996,0.0995526600107804
"gene_16",0.0851774486330254,0.10428915522699,0.104365532230329,0.0851904015312136
"gene_17",0.117872726945362,0.144780515430024,0.144200903214558,0.117980379610988
"gene_18",0.463191059302164,0.574789476508295,0.575357531109955,0.471467194276568
"gene_19",0.111402172207509,0.135944015632541,0.136788584257781,0.111325415683138
"gene_20",0.125338350327051,0.15466283842895,0.153298354311777,0.126042839516627
"gene_21",0.0834622024265088,0.102124976391017,0.102263680095315,0.0834411469596203
"gene_22",0.0929234247235832,0.113672586072884,0.113634430427654,0.0927963858651852
"gene_23",0.0947931171366963,0.115845217032214,0.115814914381816,0.0944707781072119
"gene_24",0.0875712036442217,0.107205126720192,0.107257573049439,0.087542864438565
"gene_25",0.157210964612821,0.191181515324496,0.190977289839917,0.155795695441185
"gene_26",0.077596023721216,0.0950061183415216,0.0949705901185458,0.0775452595678001
"gene_27",0.223286010796417,0.271610313157099,0.273893046237926,0.222596053432365
"gene_28",0.0939169799921843,0.115055923866175,0.114887474651621,0.0938635554970922
"gene_29",0.119278952071719,0.145621604668313,0.144982885897319,0.118384065641881
"gene_30",0.0844916343534814,0.103465181542824,0.103478452864553,0.0844863186497663
"gene_31",0.137371669639125,0.168670343139719,0.168461290583646,0.137622042349434
"gene_32",0.163453073321232,0.199928282216408,0.198977188028449,0.162648813636397
"gene_33",0.171277359116934,0.209340058308318,0.20858283501434,0.170158773571626
"gene_34",0.142940034745701,0.17506592026889,0.175127359767711,0.142956242964068
"gene_35",0.0880431997836217,0.107808161150555,0.108029684371767,0.0881247313046963
"gene_36",0.16823879699603,0.206377939663792,0.205722542323408,0.168221484927313
"gene_37",0.104764138858939,0.128345181208759,0.128452431664213,0.104845600840996
"gene_38",0.0917257002644207,0.112336688602775,0.112127567507541,0.0916064600744589
"gene_39",0.168143246860232,0.205721513057567,0.207985145385447,0.169449675542077
"gene_40",0.110989608558894,0.134793874773311,0.13712669978194,0.110923658934922
"gene_41",0.0844218004224783,0.103316989133707,0.103291569270515,0.0843171196588212
"gene_42",0.0939530761867427,0.115035071725586,0.115095946986928,0.0939491259294769
"gene_43",0.10224209601153,0.12562024384561,0.124929450758553,0.102295270449827
"gene_44",0.0943118097294908,0.115355194389801,0.115202643597086,0.0940539481005125
"gene_45",0.153895983250239,0.188851710004618,0.18773972024661,0.153443772630443
"gene_46",0.107670544218669,0.131444874391868,0.131671448794986,0.107372628019246
"gene_47",0.157197792965868,0.192107920209375,0.193042599684127,0.157381949431321
"gene_48",0.424296832279712,0.515186118843793,0.514186927047278,0.4179374252552
"gene_49",0.0965194509756731,0.118279561228987,0.118357673903699,0.096685475192356
"gene_50",0.355733128281332,0.430501428023178,0.434881068444656,0.351273295107281
"gene_51",0.193327156820237,0.236196094139618,0.238324937170344,0.193621250589199
"gene_52",0.374594789598043,0.452798466732167,0.464251385978915,0.373798646957074
"gene_53",0.0823993655493331,0.100905415710995,0.100912889144658,0.0823890416808611
"gene_54",0.0745048297595648,0.0912109382861457,0.0912633815860597,0.0745040665022792
"gene_55",0.118334839284956,0.143512598303114,0.144025621827194,0.116969101171632
"gene_56",0.10673307931627,0.131197748696899,0.130342303883746,0.10688527186361
"gene_57",0.103242666825808,0.125834970178654,0.126390426611975,0.102920295746209
"gene_58",0.101382446805577,0.123845124557539,0.123752819588266,0.101073908022341
"gene_59",0.177294027265372,0.217655376531104,0.220161712472309,0.178835658994836
"gene_60",0.0913187179993898,0.111656728251053,0.111551488269256,0.0911209461643499
"gene_61",0.103937542443554,0.12688745538066,0.127315192382677,0.103784727887136
"gene_62",0.0829998132990668,0.101720534128692,0.101662176438537,0.0830509316174464
"gene_63",0.074247143251485,0.0909010547230921,0.0908716561390366,0.0742028675377808
"gene_64",0.230333953397948,0.280285992564228,0.288464263367803,0.232659148672528
"gene_65",0.0726752576290459,0.0889891085620256,0.0890509610626278,0.0726925585779086
"gene_66",0.0896784313567114,0.109643203029972,0.11000972120184,0.0896710496526861
"gene_67",0.127225659464673,0.154959015292374,0.156284587755686,0.127033607428306
"gene_68",0.087094937564507,0.106648198835463,0.106688246753182,0.0870954143905898
"gene_69",0.111123024202588,0.136072830093137,0.136044937740594,0.111097200528658
"gene_70",0.101066726522178,0.123516925938743,0.124507186094905,0.101410822614887
"gene_71",0.0868085827062439,0.106224430303597,0.106320463565189,0.0867436300856708
"gene_72",0.264880465435009,0.325282306531468,0.32065755575705,0.264030912078651
"gene_73",0.0846215021247099,0.103626637249875,0.103677652454327,0.0846337868065738
"gene_74",0.112538276529602,0.137929086410139,0.137439266713185,0.112224917566075
"gene_75",0.0664966356231334,0.0813293365557968,0.081642899344375,0.0665412324889841
"gene_76",0.20617557884555,0.252251096571804,0.253093470037476,0.206434896000916
"gene_77",0.114307466641909,0.140699435185409,0.140395933933197,0.114908230642199
"gene_78",0.091748919897525,0.112327229291833,0.112392202312047,0.0917390414744426
"gene_79",0.12575364494961,0.153598870692151,0.154174838524764,0.125726598534626
"gene_80",0.162860254773053,0.196716482854072,0.198067349239366,0.160523780707945
"gene_81",0.126957654589338,0.155009848778949,0.155412706494807,0.126576446950227
"gene_82",0.101717828415898,0.124946106557075,0.124774927767953,0.102009217370925
"gene_83",0.118889479766312,0.145157418524318,0.145411302574916,0.118652131046246
"gene_84",0.09057356276332,0.111038849781367,0.110777137514856,0.0905600633721059
"gene_85",0.153710668504767,0.186214595423141,0.187765812824096,0.152110269982147
"gene_86",0.208349231739987,0.257428952287621,0.25349231917926,0.20857082270032
"gene_87",0.108354309887629,0.13362401105616,0.132677591768634,0.108856402349087
"gene_88",0.285749442218307,0.347494423780312,0.350229476422812,0.284428932475527
"gene_89",0.173054296317607,0.211583526341314,0.21248364420652,0.173375028101233
"gene_90",0.176544583376458,0.215061190806573,0.219011818885585,0.177353106903261
"gene_91",0.0837089933317669,0.102506672655095,0.102531199028553,0.0837054435472791
"gene_92",0.248840260260578,0.304960328196146,0.3066197787755,0.249521935890007
"gene_93",0.0975572627714784,0.119153102748634,0.119449697259154,0.0973626850138039
"gene_94",0.0863319427470478,0.105617466103939,0.105742504320559,0.0862889242613129
"gene_95",0.07606985830775,0.0931198772092362,0.09321869819453,0.0760580449245861
"gene_96",0.0902938558230219,0.110655847764944,0.110536551940258,0.0903047214397838
"gene_97",0.320173256165383,0.39242568500612,0.384046883155868,0.316113019252091
