"","batch","condition"
"sample_0","A","control"
"sample_1","A","control"
"sample_2","A","control"
"sample_3","A","control"
"sample_4","A","control"
"sample_5","A","control"
"sample_6","A","control"
"sample_7","A","control"
"sample_8","A","control"
"sample_9","A","control"
"sample_10","A","treated"
"sample_11","A","treated"
"sample_12","A","treated"
"sample_13","A","treated"
"sample_14","A","treated"
"sample_15","A","treated"
"sample_16","A","treated"
"sample_17","A","treated"
"sample_18","A","treated"
"sample_19","A","treated"
"sample_20","B","control"
"sample_21","B","control"
"sample_22","B","control"
"sample_23","B","control"
"sample_24","B","control"
"sample_25","B","control"
"sample_26","B","control"
"sample_27","B","control"
"sample_28","B","control"
"sample_29","B","control"
"sample_30","B","treated"
"sample_31","B","treated"
"sample_32","B","treated"
"sample_33","B","treated"
"sample_34","B","treated"
"sample_35","B","treated"
"sample_36","B","treated"
"sample_37","B","treated"
"sample_38","B","treated"
"sample_39","B","treated"
"sample_40","C","control"
"sample_41","C","control"
"sample_42","C","control"
"sample_43","C","control"
"sample_44","C","control"
"sample_45","C","control"
"sample_46","C","control"
"sample_47","C","control"
"sample_48","C","control"
"sample_49","C","control"
"sample_50","C","treated"
"sample_51","C","treated"
"sample_52","C","treated"
"sample_53","C","treated"
"sample_54","C","treated"
"sample_55","C","treated"
"sample_56","C","treated"
"sample_57","C","treated"
"sample_58","C","treated"
"sample_59","C","treated"
