"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39","sample_40","sample_41","sample_42","sample_43","sample_44","sample_45","sample_46","sample_47","sample_48","sample_49","sample_50","sample_51","sample_52","sample_53","sample_54","sample_55","sample_56","sample_57","sample_58","sample_59"
"gene_0",0.0233116883215582,0.00548434795307809,0.00147765565081479,0.000557437025537808,0.00479583123169376,0.0205474386699677,0.0428793520220908,0.0105678271455041,0.0202187389169689,0.0101487955796241,0.0120994205617474,0.00796743016435874,0.000964610169609364,0.00505669635395197,0.0046373487194375,0.00972721982387542,0.00188406928225351,0.00872082616515524,0.000157654426141045,0.000714752814302971,0.00280844198954632,0.0132511743144932,0.00223059758913475,0.00747466839248342,0.000723574486861377,6.34686417654775e-05,0.00359488593999653,0.0229578156228692,0.000475900588025724,0.00449829018982782,1.87843750473799e-07,0.0257661664391208,0.0122455976139764,8.03977479092611e-05,0.00220348246478976,0.00169791097210583,0.00161687547214668,0.0118188881170515,0.000454205667161147,0.0025735459265337,0.000356866520430812,0.0227475434369381,0.00149388987053026,0.00354822454444489,1.31030776940738e-05,7.6408992591674e-05,0.00356126681404694,0.00260165845052086,0.00398051842183878,0.0021735879899916,0.000299734957623436,0.000443026418141649,0.0663931382679705,0.00122899430399073,0.00137355517437852,0.000784330244052428,0.00351991465853808,0.000715145217387495,0.00212155293695005,0.00100385981972156
"gene_1",0.0417502378065576,0.00215178432550717,0.0182571716099851,0.00788272872337342,0.0143334377514579,0.0229731963169335,0.0164906062108381,0.00844387343857891,0.00194786160011983,9.76889158451491e-09,0.000121387340337035,0.00888614148039523,0.000302033207195453,0.000139399891875924,0.00519104842635189,0.00427685726429621,0.000127052707636613,0.000310594841417895,5.2022896278684e-05,0.000107044806064035,0.00467950897448917,0.00903286195209026,0.00557412550637291,0.00390743427195552,0.00056355304251602,0.00534955448954953,1.05274509425732e-06,5.69413247798934e-08,0.00425401162875738,0.00366735835519294,0.00900471036366135,0.00195058994924897,1.05598457590059e-05,1.33239991124706e-05,0.039527618265933,0.000247250667438499,0.0735010325057776,0.0069723119551092,0.000697741419366352,0.013455821195296,0.000310911126357458,0.00256197889371266,0.000249749199870798,0.00300974010294992,0.00313680065672473,0.00260485252100199,0.00345022772340546,0.00474124860972624,0.00859413545918256,0.000646770431379238,0.0164846429412571,0.00408074533560965,0.000164146737220909,0.000349147101653086,0.000833396468197157,0.000702851704692649,0.00649754252893934,0.00344032922861009,0.00112872019425164,0.00179872353324518
"gene_2",0.0400563168924165,0.0112481097879798,0.00554125612574326,0.00260014612915777,0.00789698990878853,0.00349454509091031,1.65313766676975e-05,0.000462081240755135,0.00223450053077538,0.000212690841858168,4.94610508378261e-05,0.00264824970762917,3.07087540089646e-05,0.0756734022491409,0.00759671378148678,0.0200305910971014,2.43248278176013e-05,0.00213922103700292,0.0172181467533955,0.00243170841536291,0.000901098168236877,0.00231188653941018,3.11308592997087e-05,0.00285555153954425,0.00648940083272902,0.00751834472567373,0.000920081347515765,4.74593519333381e-06,0.008059545735183,0.0182105180266168,0.00452462860023143,2.07647997361979e-06,0.0311119357282942,0.000121516239699985,2.26772690661665e-05,0.03058765940951,0.0103902747943881,0.00156750857594096,0.00655788939909652,0.0124595824943867,0.0025212017781587,0.000194117870730165,0.00345216847221706,0.00360603943073532,0.0139828499110486,0.00558744809610326,0.0115678805879686,0.0182128807115095,0.0150669168478238,3.81640309193846e-05,0.000797931849914211,0.00189579952788623,0.00168252194101836,0.00463074346639888,0.00189011274689752,0.000324292542433898,0.00760518644694953,0.00477359668609311,0.000582957133294478,0.0315105117567282
"gene_3",0.00738570311962239,0.0191948277012168,0.00102743117339701,0.00163934405244051,0.000552610322105172,0.00306343197894821,0.00124534500221257,0.00448003544135704,0.00974637327127902,0.00258643222050083,0.00466860336010324,0.0107798820503875,0.00453063319295471,0.00998807762863549,2.73644947401415e-06,0.00025035404908636,0.0265624948208714,0.00228206339841838,0.00205263720222053,0.000338195640390091,0.00719251570218622,0.011249489632055,0.000608767842302238,0.0110136652524598,0.000223151354947254,0.00315023180209564,0.00119976251279593,0.00418027125184101,0.0162311190929637,0.00287330454883569,0.00280582018923165,0.00238367613556678,0.00386922066970462,0.000139812028023597,0.0261491210562692,0.00213172781986301,0.0127063518142024,0.206641894448125,0.000535103341020262,0.00834868655152229,0.0282904137779478,0.00952854266453039,0.0891231783065386,0.0100411229501527,0.000526397834279194,0.00037803471542336,0.0103661835132319,0.00489160351014819,0.0038683812911644,0.0701112234133868,9.07633790045384e-05,0.00891161427944747,0.00186034513307591,0.000801551360973957,0.00464503490315237,0.00595728307830131,0.0106506176421163,0.00472933076000071,0.00656533634702336,0.00628121561850216
"gene_4",0.00169422606717602,0.0164059755669032,0.00172039696876167,0.000672685949700738,0.00350437981142101,0.00276019456803173,0.0116099352693562,0.0256198821098551,0.00237502905721188,0.0019812516462834,0.00387093911950742,0.000650910293649549,0.000150087656542709,3.70058753987236e-06,0.0121284383186758,3.00202410592095e-05,1.71855442030047e-05,0.00100551679518983,0.00354883957497528,0.0176651947224463,0.00317968307638527,0.000298521922775866,0.000201598128567974,0.0147904229847836,0.0607580528902173,0.000429051407679664,0.0011672013347924,0.00215725012921546,2.45520738071391e-06,0.000636314579300904,0.0191994206277505,0.0124516630102734,0.00125623248746662,0.0225050884888333,0.000532528558429237,0.00474057256790517,0.00684208633762032,0.000109078203750698,0.00342749847329874,0.00138732688316814,0.0098202844087936,0.0101647398519374,0.00635995538488818,0.0148400527415443,0.0349236763800284,0.00210682651432086,3.81512910361266e-05,0.00404465750599698,0.011264891931004,0.0211605548821345,0.00784785354078258,0.00621236605478211,0.0191568467869695,0.00371662098406209,0.0252346862954987,0.0033719819310892,0.11367678645942,0.018536057852347,0.000101471274568181,0.000453118948425479
"gene_5",0.00151818848722509,0.00709422498467371,0.00406193170584372,0.00084591875699194,0.0105220688403191,0.00179822695782257,0.00666746222897719,0.00857231034509212,0.00805358090110686,1.38761618797409e-05,0.00447114361713508,0.00160110685790963,0.0233563354950475,0.00213350532535259,0.00148920403782399,0.00130318230443144,0.00206548330538814,0.0431671418679003,6.10535921385026e-05,0.0032752140469126,0.0132613164979453,0.000197246956048262,0.00338640965888595,0.0022932048918497,0.00921592553622696,0.00225497301510784,0.0342201271079415,0.000515403963625615,0.00600524947853094,0.00515146481761774,3.48977775947383e-05,0.0235524814077925,0.000243860012026541,0.0689453465198022,0.0191150187255567,0.00797779466118506,0.0145145891440346,0.00628664357895883,1.87511115163434e-05,0.000949490318815644,0.00405488638943058,0.0689658173833739,0.000647971940336932,0.0120337841123183,0.00113113687310796,1.80568246648949e-05,0.0046754827607684,0.000176955557775939,0.0316616608057392,0.000129385550882586,0.00982270638624597,0.000289161713023114,0.00779332519064634,0.0164813095293993,8.14926385949804e-05,0.00111358202954584,0.0128153731385179,0.00800788603276113,0.00353864973045987,0.0070742364787156
"gene_6",0.00981964324018696,0.00315729977563406,0.0224349634762509,0.000378622244800899,0.0183193343530041,0.00135804311410427,0.000252262868463461,0.0025697780070323,2.20631386908043e-05,0.000715282085234357,0.00600300515504583,0.00618374589730031,0.115028794554911,0.0255961711793097,0.0304138798328935,0.00533798437337681,0.00737694088712864,0.00108539561846366,0.0168800604752861,0.0142134281160332,0.000734553638443653,0.00109093146096528,0.0129414696824756,0.0197344728018411,0.00462317289716884,9.0718355139433e-05,0.0125489958597494,0.0154351494110143,0.000271330636651166,0.0028351819898318,0.00294505426746934,0.00474498249611319,0.00246927991641697,0.0459086919727469,0.00888924614208163,0.0344701061510607,0.0122066885911531,0.0124373587514166,0.000555466157405815,0.00464564830804192,0.0012609450126695,0.00995573896595063,0.000200852766346073,0.0715247193817152,0.00318764239130127,0.021959594316699,0.00767642355264249,0.00257969757411433,0.0250557026268512,0.00462347084230763,0.00239480175016091,0.00317937481340682,0.0002197863896486,0.0206272757727407,0.0511187705561966,0.00269507864157064,0.00218178316981416,0.022845206366902,0.0133033759168398,8.91717708759176e-05
"gene_7",0.0133685273182058,0.0427987905577642,0.00349181147896534,0.0376108802230094,0.000693920525993961,0.000503217408491878,8.99940330342775e-05,0.0195861506199272,0.00384541059982586,0.00380123773260684,0.00614811514719517,0.0304331373226467,9.55521042481622e-05,0.00147626647328299,4.11413203740991e-05,0.00936476525652594,2.73622205974191e-05,0.00107732578178599,0.0336223297819375,0.0089153238297976,0.0110900327420035,0.00637470993288762,0.00922546693538122,0.00943624720399548,0.0886458537856036,0.0163181660067959,2.27031264188286e-06,0.0531812455269264,0.0011900339338259,0.0194958293419287,0.015830978312214,1.36458033494959e-08,0.00240651584977144,0.000261650392918595,0.00907318360628163,0.000447624508359647,0.00320737940852879,1.4350071056474e-05,0.00901991543133064,0.00163953113738061,0.00079280722429682,0.000936121668263797,0.0200969643739489,0.00262897690168691,2.54328203536919e-08,0.0114750220808964,0.00676775890420005,0.000304833182385577,0.00221656685486728,6.27842433721271e-05,0.067007281872856,5.51516610386942e-05,0.0038626949571128,0.0101835630075785,0.000147858357004527,0.0224038871775957,2.94358898880406e-05,0.000128884256128499,0.0050384032298366,0.00342240842445525
"gene_8",0.00419283028028557,0.0149598194453351,0.0144675274515119,0.00865223371571613,0.000159912500088635,2.13007837181206e-05,0.00707459392244009,4.44676216533273e-05,0.0220520541048691,0.0224334206075788,0.0093652002344322,0.0143462081422044,0.00199212116492497,0.0115554684969114,0.00457718205219338,0.00301658470086292,0.0125228513588959,0.00077464584987422,0.0175111550864528,0.00652098482617759,0.00540762246510905,0.0354418409492001,0.000446779211694491,0.0112328091580875,0.00506000606696074,0.00996798785232074,0.00129468071105838,0.00121992104099922,0.00407525983006399,0.0330067911412833,0.0122604687514121,7.54457719727045e-05,0.00381802321098935,0.0130014786315838,0.00453586682423058,0.00066676102544575,0.0124160049712143,0.037786627428086,0.00679521894057864,0.00458137188774705,0.000854306345417973,0.00133602796064186,0.00247930201473996,0.00298761505571002,0.00015046285831889,0.00326576101137449,0.0265245029923811,0.00706204994691491,3.03426569372608e-05,0.00959647208170254,0.00490808021313,0.000141728303885034,0.000234602946833901,0.0169887843602419,0.00122105091626454,0.0175336304505534,0.0122658420849969,0.0324968324745607,1.60641161264744e-05,0.000193961130980854
"gene_9",0.00388239669359142,0.00519405924880149,7.17641486401853e-05,0.0257387961929184,0.0159918655051437,0.000350038666986539,0.00488178636856687,0.0151536462737149,0.0175548093976489,0.0157734797284368,0.0175355303246038,0.00101997558298991,0.0428676592923974,5.09417413611172e-06,0.0288113739586862,0.0139730435459538,0.032742761306787,0.00319028576353628,0.00575871802705246,0.00297690849534725,0.0192404330794517,0.00744301035531125,0.00869087042977767,0.000736106867975908,0.0346404212542643,7.71483998942337e-06,0.00352964258881346,0.019494287152461,0.0246031682149059,0.0501033204756418,0.000114162490009321,0.0332789729822983,0.00495163592918876,7.90965645278198e-05,0.0228212232727034,9.69087772600896e-06,0.00429698367263718,0.017233352617733,0.0206749021309972,0.00400082547768354,0.00139578100488945,0.00640083076184342,0.0285557278938879,0.0163530042029628,0.000358292053194828,0.050565941165204,0.00129111343572677,0.0179523080680015,0.00177802277777164,0.053229532195504,0.0315586183508191,0.0360871793044089,0.0955939725189124,0.000182252599905883,0.00439119847407681,0.002788782237095,0.00172304781513878,0.0190461972138897,0.000332683409972517,0.197515099861052
