"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11"
"gene_0",0.166013915573265,0.166009609749703,0.173172979718557,0.170592565441634,0.162146799611067,0.16206374469819,0.173043679402076,0.174551140621982,0.17364293147471,0.147957731831642,0.17260336742443,0.158200800524998
"gene_1",0.166035471491641,0.166031288611646,0.172981528102696,0.170479869068591,0.16227626414771,0.162195471678652,0.16794659275467,0.168215473246535,0.168053935084349,0.162836662956649,0.167867333985625,0.165079949245994
"gene_2",0.166437369607564,0.166435696930616,0.169146828551558,0.168186454710921,0.164913396366295,0.164880181561084,0.167231639778358,0.167348436758848,0.167278292665004,0.164971228057758,0.167197170939172,0.165973195702144
"gene_3",0.165869240340648,0.165864131736881,0.174432316584762,0.171329797710031,0.161301064771941,0.161203388774856,0.167817282325335,0.168058294402969,0.167913508554978,0.163221848314152,0.167746223277519,0.165242814622009
"gene_4",0.166275618093635,0.16627288148355,0.170754999584716,0.169156561189796,0.163796754634161,0.16374304852857,0.167586985200594,0.16777876462605,0.167663568258579,0.163908774430518,0.167530420371811,0.165531418999359
"gene_5",0.165949481663383,0.165944813691339,0.173739082600859,0.170924836601843,0.16176534497482,0.161675661719157,0.170505117428396,0.171359999945415,0.170845705966277,0.155295278277805,0.17025422782485,0.161739182640856
"gene_6",0.165515372824983,0.165508455153109,0.177328691084374,0.172997659312099,0.159389672262321,0.15925999588119,0.168125664037075,0.168433403680861,0.168248502792707,0.162303913377689,0.168034977526429,0.164853467966531
"gene_7",0.164868327768908,0.164858524427223,0.182130635615794,0.175678581298884,0.156320897170028,0.156142799979696,0.169171183196067,0.169712132692072,0.169386934145333,0.159208432049397,0.169012054212957,0.163509156448037
"gene_8",0.166484699106174,0.166483354253378,0.168656196727507,0.167888088368379,0.165257202942594,0.165230400613916,0.166931731920255,0.166986163313456,0.166953478622827,0.165870263965362,0.166915660515933,0.166342673118587
"gene_9",0.166522549663939,0.166521473049081,0.168256413043477,0.167644136298345,0.165538437072376,0.165516916645631,0.168171326542116,0.16848902378474,0.168298135552853,0.162168207765633,0.16807771277141,0.164795552818812
"gene_10",0.166651121405715,0.166651000714536,0.166843710000769,0.166776105792914,0.166540218596506,0.166537780315063,0.166705341230503,0.16671324404817,0.166708499132003,0.166550342986213,0.166703007003595,0.166619534019866
"gene_11",0.166100443182023,0.166096637803622,0.17239574674744,0.170133945525101,0.162673478924512,0.162599672323634,0.167171649869309,0.167275905227744,0.167213295052832,0.165150887266513,0.167140879305257,0.166047347955751
"gene_12",0.166565990411941,0.166565228639027,0.167789079228174,0.167358021167591,0.165868463743213,0.165853183331646,0.166908860619911,0.166958569676616,0.166928720967745,0.165938921541026,0.166894182995035,0.16637072748837
