"gene","SE_Intercept","SE_condition_treated_vs_control"
"gene_0",0.438866438486886,0.735746960086797
"gene_1",0.231191538869916,0.32584612115689
"gene_2",0.190094659099344,0.268765119840339
"gene_3",0.173321778513313,0.241957589290427
"gene_4",0.26123318853499,0.369263927862591
"gene_5",0.623998470775246,0.936637434870117
"gene_6",0.277021575078387,0.383874510107537
"gene_7",0.34186212423944,0.473419264426279
"gene_8",0.170276317640727,0.23986996789775
"gene_9",0.192648834682596,0.279066306563484
"gene_10",0.177728015957057,0.251330250159448
"gene_11",0.194285440358843,0.270313559640134
"gene_12",0.129380075477608,0.182894776483836
"gene_13",0.257962571460998,0.367397929165988
"gene_14",0.622588427471145,0.895961577739862
"gene_15",0.175374170401395,0.24657392443769
"gene_16",0.27959167992119,0.39390448345434
"gene_17",0.418682506061702,0.58538311500394
"gene_18",0.278013408128912,0.394698149000691
"gene_19",0.101363012679513,0.143070698113058
"gene_20",0.153469558543338,0.217026224282506
"gene_21",0.17661565542263,0.2518330062227
"gene_22",0.171806875011167,0.239570825339489
"gene_23",0.485104560813493,0.684225969903957
"gene_24",0.170766361532862,0.24023752260229
"gene_25",0.14445000563188,0.204299232195503
"gene_26",0.172163479961406,0.243725132528292
"gene_27",0.13375426822116,0.192259696590014
"gene_28",0.140419452748072,0.196950411014907
"gene_29",0.363244265615938,0.530013428565477
"gene_30",0.143260959169181,0.203337051257697
"gene_31",0.148486838757764,0.210418509431976
"gene_32",0.174424029814023,0.248585623977712
"gene_33",0.168066888072025,0.237554839092525
"gene_34",0.384335923299327,0.548242070596045
"gene_35",0.305778584529389,0.431185416542505
"gene_36",0.158144032950395,0.223719775727876
"gene_37",0.194505642543602,0.271270696247482
"gene_38",0.199926430026993,0.292372535404485
"gene_39",0.185995369269922,0.26231041681904
"gene_40",0.126223556619458,0.17847308599998
"gene_41",0.153575876878962,0.213227350247752
"gene_42",0.153798796206882,0.216031722034047
"gene_43",0.155971378114242,0.21902706879432
"gene_44",0.327914655090865,0.454824670565289
"gene_45",0.222598881438822,0.314921198056137
"gene_46",0.157483289434879,0.222771113429762
"gene_47",0.15619977744335,0.220639267222591
"gene_48",0.369747519425834,0.519680806968027
"gene_49",0.164105084005873,0.229918419508088
"gene_50",0.137606426456501,0.19594498127703
"gene_51",0.218447473109922,0.321591255071626
"gene_52",0.149687262930908,0.214892635842446
"gene_53",0.212525030233963,0.310249405906379
"gene_54",0.384130697025759,0.540721616583959
"gene_55",0.149530008141238,0.211688635620821
"gene_56",0.153688041508965,0.215837679807207
"gene_57",0.170572544514677,0.240016411428677
"gene_58",0.136494223539513,0.192716739718424
"gene_59",0.150706248475235,0.211289419989783
"gene_60",0.593881901669578,0.979923200277761
"gene_61",0.166564009041801,0.234981009638739
"gene_62",0.659360231802547,0.907698002661124
"gene_63",0.22726792797958,0.322579388321425
"gene_64",0.130245726456031,0.184099558995917
"gene_65",0.74500283335592,1.06419859664728
"gene_66",0.173109226996981,0.254296157896405
"gene_67",0.179218835816262,0.245853915362362
"gene_68",0.191626208482924,0.272002567667188
"gene_69",0.12698242187599,0.179331208888169
"gene_70",0.124261478629298,0.177635388461203
"gene_71",0.144000414826064,0.204787679406458
"gene_72",0.370039968032241,0.507755642511627
"gene_73",0.293169113453235,0.411996076744295
"gene_74",0.254765829617513,0.355082191351724
"gene_75",0.194123542783848,0.273691246825581
"gene_76",0.329475350774958,0.471777978237336
"gene_77",0.306640223389433,0.462993040607236
"gene_78",0.448399421773965,0.648420415930997
"gene_79",0.166254429224866,0.235206150139297
"gene_80",0.158520724851233,0.222819498118778
"gene_81",0.136433303441889,0.193156463324653
"gene_82",0.147162265457054,0.208133356566687
"gene_83",0.20958297244718,0.308248225120179
"gene_84",0.130715913649393,0.185087965812248
"gene_85",0.159820818923032,0.226161469066824
"gene_86",0.149381944810073,0.2115193834132
"gene_87",0.136796829828947,0.189519950247817
"gene_88",0.37387181733211,0.573117358894461
"gene_89",0.269460713052005,0.377311751646312
"gene_90",0.580361950200368,0.824201994257459
"gene_91",0.564874086788269,0.878355738927648
"gene_92",0.213742379847295,0.300487665852578
"gene_93",0.120519278976965,0.170576681113262
"gene_94",0.189904689212295,0.268273742147079
"gene_95",0.213208919947439,0.319254037085244
"gene_96",0.698893702398347,0.997592227771028
"gene_97",0.156749234228998,0.221429452441446
"gene_98",0.158039635483748,0.225335741970307
"gene_99",0.160178992420119,0.227224389958698
"gene_100",0.858869271544344,1.17125398618863
"gene_101",0.212078936565363,0.299191615106697
"gene_102",0.122541094168586,0.173808737622684
"gene_103",0.186704521320466,0.264565455182794
"gene_104",0.147889516488983,0.208878508872915
"gene_105",0.136913415385329,0.199947172087092
"gene_106",0.139939972073022,0.197172463752082
"gene_107",0.123869895531653,0.178786922055385
"gene_108",0.538531094949176,0.756594982516348
"gene_109",0.199918953467888,0.281786272385093
"gene_110",0.149990032472688,0.211356605619699
"gene_111",0.125717451579203,0.177910646697718
"gene_112",0.131718303195882,0.186600431319844
"gene_113",0.152134597714537,0.215334639697358
"gene_114",0.14839228112119,0.209514037433565
"gene_115",0.161673716475887,0.226236499076044
"gene_116",0.475154834554281,0.676842036426549
"gene_117",0.193282993543446,0.277499309548136
"gene_118",0.201712014706554,0.283046331922425
"gene_119",0.164612038607698,0.23074968393062
"gene_120",0.222147178845024,0.314361513396169
"gene_121",0.146006633875334,0.206520552549169
"gene_122",0.130207528634516,0.18433632396479
"gene_123",0.601008727961524,0.889061622487081
"gene_124",0.134902291468193,0.196171871813994
"gene_125",0.312807309935283,0.469283950691712
"gene_126",0.250737541654787,0.354782142903132
"gene_127",0.742549156290601,1.30223126600714
"gene_128",0.195984281064654,0.282862150419108
"gene_129",0.137399420119536,0.202370404963228
"gene_130",0.501054073253643,0.696300325582074
"gene_131",0.144689350091111,0.204621979948329
"gene_132",0.299180267602309,0.423225333996612
"gene_133",0.799427522451245,1.16700629587191
"gene_134",0.220094406054326,0.315021259210237
"gene_135",0.138021131568188,0.195227425156043
"gene_136",0.131069999287559,0.185534271625937
"gene_137",0.128731981434847,0.182469836026807
"gene_138",0.147304357710769,0.209123267946362
"gene_139",0.160402195027371,0.22678127583526
"gene_140",0.19443583004357,0.278322419911487
"gene_141",0.400898085487619,0.532468544149719
"gene_142",0.989274236647469,1.40363147247855
"gene_143",0.510052940136867,0.76338573556
"gene_144",0.528755879668206,0.715971165514511
"gene_145",0.358132302670793,0.52735283977385
"gene_146",0.152799886485736,0.215242581339653
"gene_147",0.337294946075779,0.481574794925401
"gene_148",0.582701477113477,0.944628559487678
"gene_149",0.343157899257774,0.487957629925872
"gene_150",0.476414717728855,0.652852219321408
"gene_151",0.146584065785843,0.207405161436822
"gene_152",0.638579149248628,0.903973362243428
"gene_153",0.214691386237296,0.309428073492581
"gene_154",0.137753656254748,0.193904507471115
"gene_155",0.124900257591452,0.176558575409726
"gene_156",0.116190082235591,0.164304253237302
"gene_157",0.659179595859969,0.951939329520711
"gene_158",0.10002257430119,0.140808668868276
"gene_159",0.221485640435312,0.31103385590977
"gene_160",0.164574594534387,0.239773520507288
"gene_161",0.140986060107297,0.199524679176452
"gene_162",0.21030745956637,0.29603332140302
"gene_163",0.173260477568542,0.244138645717949
"gene_164",0.215649643178089,0.306094479276926
"gene_165",0.2554832876735,0.381386249917421
"gene_166",0.13604661084696,0.192120913200647
"gene_167",0.227174596448215,0.336030712910716
"gene_168",0.183425932810756,0.254948224600978
"gene_169",0.125672264249375,0.177693753905158
"gene_170",0.110445781415856,0.155418447766739
"gene_171",0.270902689067025,0.388731569220695
"gene_172",0.151638966858473,0.216010850732095
"gene_173",0.215944887324577,0.295219024436826
"gene_174",0.32783829208415,0.483593945544541
"gene_175",0.461845852597145,0.641980987848351
"gene_176",0.204449936866615,0.308535294613446
"gene_177",0.160361884374203,0.226248236781031
"gene_178",0.260065700755034,0.369695884626354
"gene_179",0.151119302883703,0.213627989495751
"gene_180",0.132844667262452,0.189780634194209
"gene_181",0.205690790295821,0.291108646464653
"gene_182",0.158860445776694,0.22456257477089
"gene_183",0.557019748212277,0.745454865936791
"gene_184",0.161517264292532,0.227755031530297
"gene_185",0.123596296770716,0.173849282610489
"gene_186",0.433049121832104,0.683281219815589
"gene_187",0.23802228386941,0.337116401503838
"gene_188",0.191384079865132,0.270614615192048
"gene_189",0.202975883508699,0.284132594450431
"gene_190",0.171307147236609,0.241734578106594
"gene_191",0.168026368444115,0.234040781709484
"gene_192",0.28717775631427,0.395729028113977
"gene_193",0.138445724198734,0.196966071146424
"gene_194",0.248352575422075,0.351393703207919
"gene_195",0.249517296222455,0.375787625280445
"gene_196",0.153291035604495,0.216739560863995
"gene_197",0.135309257451545,0.191212816282262
"gene_198",0.935178004395721,1.31477592276015
"gene_199",0.184047395821391,0.260339749226343
