"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11"
"gene_0",0.0410616858512436,0.000185687939951919,0.019025089384015,0.0699979689762165,3.767435611035e-05,0.032796660508784,0.0223089761771684,0.0626233964542698,0.000245753929530166,0.0591859985392627,0.0153062455591189,0.00120784281247826
"gene_1",0.0880890318230436,2.72084556342871e-07,0.134437210750698,0.0457837736415715,2.26559987962412e-05,0.0822008834197739,0.0425484064750458,0.0787377424815527,0.0734348636964472,0.0309335650174242,0.0536255499370394,0.122387266533795
"gene_2",0.0472683339657084,0.00464273526907077,0.0021975632144918,0.0553390347120339,0.00277493524637152,0.0345514045120656,0.0278604151330877,0.0632421439117777,0.106081553991298,0.16688506121173,0.0797124741529903,0.0133311621461983
"gene_3",0.0578439628094274,0.00897513521224483,0.144765236072075,0.033997301394666,0.00638364573604054,0.629444379096324,0.0847886014985675,0.048387706053348,0.00436024851308549,0.104380280927398,0.0448731081200404,0.00133956517445082
"gene_4",0.0754295189853194,0.00103826843545264,0.0883275906394221,0.000159469818939022,0.00291808784998444,0.00333233283961369,0.0885680090782026,0.158079849857005,0.0424754110767348,0.00215251934693941,0.0856787215606881,0.059054112167365
"gene_5",0.0143074087965881,0.00636990483278406,0.0859845309172121,0.026024834253,0.0317635054733606,0.186307949175647,0.0219793583373887,0.0267744672621401,0.0262449692106564,0.0688742801693883,0.00218307143970815,0.0177880643033113
"gene_6",0.0110647985222202,0.00380032399550012,0.100024721549079,0.0197130249571438,0.00040873813442445,0.0737172644254712,0.0474532863489558,0.0515726340817975,0.066110706134783,0.00141810683357419,0.0700598720717006,0.00154623011520114
"gene_7",0.0932172387580372,0.0618610838044441,0.00193098391877372,0.161374253237661,0.0210547113758881,0.0204730516291514,0.00136991095350396,0.0896166856685771,0.00099939203500772,0.109749885064413,0.0826146528165525,0.0312697756756368
"gene_8",0.0724796524319368,0.0431251452106868,0.0367914261674839,0.052879213313844,0.060542223962611,0.365764463779476,0.121619281785308,0.0131256672207673,0.00409482796884725,0.049885077641806,0.298046988440393,0.0231048550218646
"gene_9",0.03307387642471,0.0344476677485222,0.0348336389100783,0.00143886564130109,0.00417082552917449,0.0818146714333011,0.00108516029142962,0.00180548784896911,0.00132709602849166,0.0341126929625202,0.0650965429926055,0.00975082366481374
"gene_10",0.00138097802361733,0.000137389854569282,0.0297434518684411,0.000204547019089619,0.108424398840703,0.00875750971732391,0.173597041179188,0.0217192846664862,0.0776139860413092,0.0881615836716174,7.33729843574665e-05,0.0778507683842559
"gene_11",0.0243847898993986,0.0608417223157254,0.0201239604171338,0.00695131273725729,0.0118401227014499,0.000745744183970394,0.053111659926981,0.0725387520846964,0.000134724235050045,0.00785600277606878,0.128817521270374,0.00167015910184708
"gene_12",0.00501175678339643,0.00446915123566371,0.101839277698416,0.000433648935224172,0.0111702774611571,0.070761847946359,0.111958070336442,0.147460590761539,0.00595964457068971,0.342375297709671,0.00751251142229984,0.0152666944507782
"gene_13",0.00152482674922062,0.0431862889754548,0.00249394776770416,0.0123936264506333,0.0336655753007934,0.0506179872774251,0.0736840887594948,0.0198323339084161,0.267290515785775,0.112795054645167,0.196172315004569,0.0450622172823168
"gene_14",0.0139637116209116,0.0680035931179271,0.026975599961606,0.102203433563182,0.0206086009017875,0.228232528099884,0.00235285607044919,0.0694935660191161,0.0586154033814003,0.0139745352783842,0.0579437467074689,0.0218522226088486
"gene_15",0.070682589109486,0.0182631294694342,0.161954382703075,0.0706223881114942,0.0875534299265398,0.000810160033141106,0.00978070743367241,0.0631524951794919,0.0119424031342443,0.416270408004984,0.0833102946123636,0.0105970414015523
"gene_16",0.047384363082789,0.0250332297212153,0.0333766922413307,0.245836564339379,0.354345204568324,0.00834196031115432,0.0512111375559601,0.00043367232744909,0.33448740445116,3.17471340040518e-05,0.11376303108444,0.000888997695114798
"gene_17",0.0752506157551415,0.23997269032173,0.0263940928166226,0.014796658127503,0.00828861722690828,0.151218795819381,0.0573729875913432,0.0189517816571067,0.0690458608996495,0.0161295380549821,0.0220739514922097,0.00788530689585116
"gene_18",0.0135075570756056,0.0134600190902001,0.130471123263434,0.0425585461711481,0.127625531192385,0.448082516321562,1.42995639559314e-05,0.00651494982000148,0.00853650406826829,0.0447984809438202,0.0713235026424014,0.423496561824674
"gene_19",0.00888211572625071,0.002458089649848,0.00562222427211393,0.0577339972417329,0.00587547189495815,0.00305078315136998,0.0160625156004015,0.00725015998996559,0.0231638932780003,0.0173039228941411,0.0121248663547384,0.189578344438709
"gene_20",0.0223687096952114,0.111659916346935,6.55231798017493e-05,0.00248375368579488,0.00828906877824866,0.0229491779867667,0.0457106000867128,0.00385159044283564,0.0947702759900985,0.0687659652563765,0.0716975456244037,0.206166434994101
"gene_21",0.00024173848336716,0.0370056397535417,0.150090381884318,0.00826906066850283,0.0190504672928228,0.0512545448007845,0.129836833258178,0.886449885926611,0.247045613857357,0.00778797689862355,0.103817455963166,0.0223606552150486
"gene_22",0.0266117995494356,0.0788832249747178,0.556485466411481,0.014069704341285,0.0822210841095442,0.202981917397862,2.56684229520609e-06,0.076456660097398,0.000182129746346879,0.103037534318326,0.00113514235377368,0.412662850407534
"gene_23",0.0308739217696747,0.0128074560970749,0.00254805564302123,0.117938302928882,0.0575911135698477,0.0558973411658038,0.0681602073235173,0.0341244702707788,0.033336361177776,0.104786399782802,0.0115260212906721,0.10573836772958
"gene_24",0.0126075574332792,0.00556422171869769,0.0283098532549755,0.0934753600766229,0.0128387162361317,0.00384574192836343,0.0105977307893708,0.000333807294255609,0.00924651396004754,0.317847987629778,0.0955873090819945,0.0781006445607812
"gene_25",0.220079606688435,0.00118531399021124,0.0534833495425666,0.0136847145237666,0.178976629236156,0.0105373326161316,0.00390918503107037,0.266136128021525,0.00594417456588557,0.00523517943217199,0.165868815554505,0.00257991554993193
"gene_26",0.054247783512384,0.0252980950776042,0.058207360659788,0.457305502725603,0.0756506915779602,0.0621132028302194,0.126854254367465,0.15530610456776,0.0148104785606369,0.0372527030533141,0.399905179081976,0.07800181301806
"gene_27",0.0146083038853711,0.015520202926906,0.026973384777483,0.0777794172315505,0.0554859841613656,0.0449920201529349,0.0473093956366497,0.0245545522040283,9.33453408398046e-05,0.00216353604066663,0.0121774150566993,0.0132688333182944
"gene_28",0.376149228210183,0.0267455978206764,0.0133346898161588,0.00757670475662532,0.304371895549151,0.0616100611573644,0.0160340801650562,0.124414307822269,0.00200527810002983,0.00726802513270652,0.0923999390955995,0.0013625533899471
"gene_29",0.0502550254387946,0.0187283653951378,0.00985268646240944,0.0001755630943135,0.0565618325487912,0.0446047250495525,0.0446876701249987,0.000298626663514658,0.0115796053007148,0.000385437675132567,0.000928904654990034,0.00575700499360002
"gene_30",0.0811292824269876,0.0435202164830499,0.052344675465219,0.0162060272731602,0.0958104398627127,0.547947750416487,0.112333678258582,0.0284252778609724,0.0240619551975736,0.0278760176508067,0.0586340201504026,0.074788902956771
"gene_31",0.0332418935190818,4.654507263897e-05,0.139435839668539,0.00798883603591043,0.0298067945192988,0.077190834491797,0.00613120539508875,0.00149959771470819,0.150866078214539,0.143464429737514,0.0756451546606707,0.0519266368720835
"gene_32",0.0603065314163322,0.135855272613392,0.0984758136348109,0.0214482425937993,0.0053566677083559,0.000846978744270182,0.142366377213043,0.045856801511269,0.054523142507321,0.116457891003649,0.0700413720525906,0.0216882615844869
"gene_33",0.200857583566733,0.00460513297232945,0.033833601988741,0.470992817719723,0.0796627267748546,0.00381291655049676,0.029780421419546,0.0091713346655124,0.228260917019814,0.0193126485580146,0.00968677313793343,0.0259343949196667
"gene_34",0.055411139955544,0.175228335518698,0.105972952006341,0.00346849378758308,0.00170575638175959,0.0588011964658792,0.135768580926798,0.0272577120613542,0.0688002006386198,0.00490335278769637,0.00688457800295831,0.0449053139633135
"gene_35",0.0980617636404771,0.162246859854804,0.134914838718616,0.0173359762759908,0.00508774944000739,0.00542415866903285,0.000434956244879836,0.00350376843064356,0.1824317878239,0.0428938610372995,0.151218914673133,0.0429238748759029
"gene_36",0.00324155221032247,0.0195263068034459,0.004234012565785,0.264850426478338,0.218870505449151,0.00417257113040602,0.0256690570747708,0.0566109428660463,0.0195599237189579,0.013061552514315,0.00141270991923536,0.0329823123872139
"gene_37",0.037568807727231,0.00462751852693122,0.0172377005170333,0.0140978114409778,0.00421687698405149,0.00293230739807231,0.0262907415195417,0.0931372901434771,0.00189588615645715,0.0190675252100977,0.049086089840843,0.0106205748904355
"gene_38",0.250985178825825,0.104346058139518,0.000363501140758347,0.0369370578121702,0.000469429552937664,0.000275223796367986,0.213028695858358,0.00308513688299221,0.182465131231474,0.128118910740567,0.121432004698853,0.00605443428868779
"gene_39",0.106875057924722,0.118870457849213,0.0338820005163679,0.000431195355031402,0.0345156197769596,0.166815382832215,0.00795011409882371,0.0122206256056959,0.010476015493662,5.0900341019162e-05,0.0395041474417836,0.00674922793845339
"gene_40",0.0243484177793534,0.0574968787702347,0.046201877183972,0.0816163665947676,0.206367478085428,0.122246028212688,0.0137546946139804,0.071146240547371,0.00230521897349567,0.163575693302055,0.00119479357327842,0.0106329320962817
"gene_41",0.0101856119098769,0.00217677291120867,0.00463577908908883,0.04284845964014,0.00739930853431682,0.0088931458681621,0.0565326630790741,6.97226701552951e-05,0.024119389009587,0.0186316466559057,0.0637956528594613,0.000157608877865738
"gene_42",0.00193861299160975,0.171955154119816,0.0207293214918454,0.470169420483011,2.13412756254519e-05,0.211863856394328,0.107622628176136,0.0329367678333393,0.133737067298562,0.0122030067050002,7.51811653934761e-06,0.000924831295083511
"gene_43",0.0236278722305486,0.124495089023206,0.0156363609682373,0.0606153936725128,0.00958309566770678,0.0493970393009928,0.0101504711616509,0.0331733997875719,0.25766296105221,0.00047517306972422,0.145075843174374,0.00450544724354861
"gene_44",0.000109667547948362,0.181161943176263,0.0376405234727627,9.69018661946362e-05,0.00561754770487533,0.0949126289027436,0.0114935452446481,0.183921528071747,0.896235845680685,0.015242922500638,0.108901002038275,0.0280034864221127
"gene_45",0.00143107037930267,0.0392076173517482,0.047473313531638,0.0174684652388745,0.18654775567642,0.386929757014475,0.121134038179575,0.0202159718835075,0.0295146502837435,0.000338886751374456,0.00161379105584822,0.00311874187124927
"gene_46",0.00292875203602797,0.042384376025626,0.210635990111718,0.0100589228968812,0.00965726177661732,0.169702708634683,0.0207644786236087,0.0257225374374127,4.48842776032032e-06,0.409490142889127,0.242014640531154,0.0179438602029469
"gene_47",0.0104962515671169,0.256909910664091,0.1066455281271,0.0419699945113493,0.0200895857184047,0.147022640813472,0.00866641789377512,0.0280153799494245,0.0178136247000029,0.135863215457535,0.0331753469558563,0.336909882988674
"gene_48",0.00278534898823208,0.150044262419525,0.0234680830328196,0.337849920131601,0.0547541483602039,0.0212797473961749,0.0596210539411258,0.249956470542544,0.0505431711185324,0.0513419632274748,0.102081107591247,0.000910959152710765
"gene_49",0.0367312147053202,0.000322637229307812,0.582588338780763,0.0793698740847087,0.000934770637417762,0.052157190140745,0.0299408532262726,0.0449164725941396,1.11020413974203,0.0764058546719801,0.127281611104201,0.00105816562648017
"gene_50",0.0546550227024966,0.000243456900344518,0.0604502017943086,0.00273410944422988,0.074009847140332,0.0499009908198596,0.0193210579523556,0.0267975440824371,0.0908752539893241,0.0905194510788124,0.1069403717996,0.000612304475757618
"gene_51",0.000600975971135597,0.101369390164631,0.0113174143450271,0.00661159397544901,0.000696521927206459,0.0871815708523603,0.000163342103890308,0.0010579484352248,0.000434973782926051,0.120077410873444,0.223729933878815,0.00742680499604216
"gene_52",0.0282391816786315,0.0222963325879627,0.0411767363091742,0.0785950598667885,0.000491482483336673,0.0208829200336977,0.00197024985099229,0.00134297969170768,0.000699718306168669,0.0057715285267014,0.00106441090855623,0.00598543554777087
"gene_53",0.0113577568543557,0.0211076755379328,0.0855157632650086,0.0193684022709009,0.0720066797178519,0.00765144040397245,0.000296905254479981,0.0920699060814825,0.168821033044438,0.0091214395487748,0.000293374624481471,0.000149305650780857
"gene_54",8.44186555387824e-06,0.0359400354807879,0.107992386395618,0.00721722695689169,0.355731707240483,0.0265893252570251,0.00111090684858208,0.0770041940696636,0.00390499627741863,0.110163626013468,0.0865457428191192,0.071284186523489
"gene_55",0.000835743106461572,0.0282422083772275,0.127915274620113,0.210978792249574,0.0770631388245869,0.00135186640552265,0.000981772083646597,0.0879793228534675,0.00124119902496806,0.0344685163386282,0.00694437210314412,0.00888145110579142
"gene_56",0.00012704241912926,0.00135477655514765,0.0376568351764579,0.149408012730651,0.0377336057218995,0.000578839858557277,0.0171954005516201,0.108302448892158,0.0115395546599322,0.121637563874089,0.0103655062106895,0.0137818057912351
