"","sample_0","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11"
"gene_0",25,16,14,4,13,20,1,4,2,0,3,2
"gene_1",80,57,46,53,47,66,93,102,100,41,50,32
"gene_2",147,232,349,365,189,129,186,334,133,285,146,237
"gene_3",96,88,158,120,65,31,123,132,145,135,169,129
"gene_4",31,64,167,91,63,50,125,143,47,64,33,34
"gene_5",10,9,0,4,2,15,4,1,1,4,3,1
"gene_6",19,21,58,39,19,9,67,69,25,38,24,43
"gene_7",6,15,16,22,7,7,19,11,19,20,11,19
"gene_8",255,385,588,507,329,134,844,605,626,578,360,620
"gene_9",431,208,670,446,299,121,75,88,75,81,41,80
"gene_10",3178,3306,3860,4276,4180,2393,6622,3227,2384,4380,3999,1985
"gene_11",112,52,169,131,60,70,172,157,285,237,440,249
"gene_12",1055,1052,1212,1324,773,987,941,915,1169,1286,1294,1119
"gene_13",81,55,123,91,96,101,34,50,126,19,116,34
"gene_14",9,1,5,0,8,14,4,9,1,5,1,6
"gene_15",453,296,781,319,193,298,1336,1101,1328,1919,1014,1405
"gene_16",31,35,89,17,72,43,41,64,113,45,31,49
"gene_17",14,1,62,49,30,45,66,157,61,113,156,120
"gene_18",28,28,65,49,36,8,32,35,35,29,40,9
"gene_19",1207,1240,1891,1889,1013,1091,2199,1982,2245,1640,2168,1284
"gene_20",3647,2094,4861,3904,2873,3023,4539,3559,4929,3512,2705,1691
"gene_21",1307,1097,2760,1581,1237,874,197,551,162,235,206,279
"gene_22",81,74,204,109,90,52,183,218,186,164,186,92
"gene_23",17,15,20,1,16,3,24,7,7,20,18,1
"gene_24",334,265,358,525,208,223,785,724,616,884,424,379
"gene_25",1890,1330,1722,1945,745,1227,1415,2152,1595,1043,993,1200
"gene_26",1030,979,1091,528,880,862,949,519,674,466,1105,484
"gene_27",348,275,409,299,318,311,201,144,166,118,183,124
"gene_28",274,219,329,245,108,139,389,291,374,255,425,297
"gene_29",4,15,31,44,52,49,25,13,8,11,12,8
"gene_30",370,527,602,546,300,578,281,329,408,240,425,366
"gene_31",168,148,172,205,108,148,163,153,198,83,124,151
"gene_32",251,125,408,222,154,171,88,178,179,145,104,102
"gene_33",79,112,206,228,77,93,152,128,89,111,144,127
"gene_34",8,38,7,21,14,25,31,10,6,10,13,21
"gene_35",16,60,21,56,33,33,43,50,12,21,74,51
"gene_36",794,642,1238,460,924,662,913,993,676,514,810,535
"gene_37",75,111,259,213,124,95,490,1283,835,733,390,493
"gene_38",246,105,253,166,130,135,24,47,73,52,30,45
"gene_39",57,130,173,123,94,39,128,103,103,87,142,88
"gene_40",2633,2768,3147,2491,2589,1500,3143,3500,2836,1568,2828,2616
"gene_41",128,141,211,261,109,145,475,758,576,681,1046,646
"gene_42",274,182,454,520,221,142,744,691,439,408,594,491
"gene_43",176,275,282,329,155,134,434,335,589,301,254,312
"gene_44",15,24,18,20,14,7,31,13,60,17,16,18
"gene_45",131,180,146,145,40,223,229,121,113,109,159,116
"gene_46",1867,2301,4213,2324,1489,1049,2146,1679,1928,2199,1103,1421
"gene_47",351,541,748,415,281,217,456,434,443,256,563,610
"gene_48",16,28,33,3,20,11,15,6,32,24,35,19
"gene_49",121,136,310,148,112,97,234,232,430,161,204,215
"gene_50",528,447,544,548,451,296,327,339,220,274,211,251
"gene_51",122,63,210,135,94,140,34,37,36,40,10,33
"gene_52",513,537,1531,1414,582,449,222,196,217,174,193,149
"gene_53",81,75,219,154,46,92,39,21,67,25,41,33
"gene_54",15,9,8,23,29,8,18,31,22,4,31,7
"gene_55",746,604,1518,514,769,578,654,485,656,595,727,620
"gene_56",254,268,312,479,166,207,492,370,511,599,640,549
"gene_57",328,509,647,502,620,240,2008,1954,1600,2482,1562,2260
"gene_58",1127,1462,2780,1246,905,1077,2892,3337,1831,2262,2202,2482
"gene_59",256,229,343,241,188,135,559,350,376,304,434,619
"gene_60",8,7,10,2,11,6,3,0,2,0,0,2
"gene_61",166,215,205,223,208,207,251,345,280,137,351,141
"gene_62",0,1,12,8,6,3,12,0,3,27,2,16
"gene_63",72,62,59,96,43,20,44,47,41,61,41,59
"gene_64",852,1036,1672,791,985,771,1306,1226,877,942,1030,1167
"gene_65",9,3,9,3,0,0,1,2,1,1,4,8
"gene_66",135,235,279,380,144,198,71,75,52,57,48,29
"gene_67",45,46,91,56,50,67,231,203,154,85,144,141
"gene_68",55,85,112,136,103,69,90,112,115,38,86,51
"gene_69",981,1108,1186,1152,1034,760,1435,1502,1886,844,1176,1543
"gene_70",397,457,674,552,276,287,237,327,205,158,223,245
"gene_71",2052,1232,2486,2453,2453,1792,633,630,540,339,519,662
"gene_72",3,13,9,27,12,6,36,22,28,23,8,22
"gene_73",12,37,50,51,25,55,57,27,60,80,45,18
"gene_74",22,28,90,49,34,44,69,48,93,52,43,140
"gene_75",210,126,93,97,85,108,122,160,175,108,196,118
"gene_76",47,21,27,27,20,7,19,6,22,9,22,27
"gene_77",32,32,41,57,27,23,1,14,21,5,8,9
"gene_78",23,13,21,21,13,68,2,5,18,5,3,33
"gene_79",230,549,872,683,312,506,321,475,531,521,547,384
"gene_80",391,213,739,622,353,453,2668,1596,1305,1744,1952,1838
"gene_81",702,1215,2232,1372,690,1109,740,1059,1051,835,987,744
"gene_82",4931,5740,9215,6591,3979,5161,5499,3779,4181,3071,9076,5644
"gene_83",108,100,210,92,63,63,35,23,50,41,18,26
"gene_84",584,547,909,875,649,298,557,484,600,405,656,516
"gene_85",4582,5074,5742,9899,6357,6677,4157,4041,3676,2105,2311,1772
"gene_86",571,395,747,675,556,296,505,461,641,448,323,301
"gene_87",154,150,358,258,102,98,633,717,640,581,729,574
"gene_88",10,31,16,27,13,13,11,3,8,3,2,4
"gene_89",103,50,126,24,13,59,101,192,86,64,140,113
"gene_90",2,8,0,27,20,1,2,14,12,8,12,3
"gene_91",8,1,36,2,22,9,2,0,2,2,6,1
"gene_92",85,41,116,72,64,49,98,92,75,34,80,142
"gene_93",284,387,701,473,245,266,380,381,396,226,389,343
"gene_94",117,144,338,204,198,136,164,338,295,116,110,176
"gene_95",61,66,180,113,74,30,22,27,19,23,21,23
"gene_96",12,3,5,2,1,9,0,3,0,3,18,2
"gene_97",583,482,1046,900,318,729,1170,655,1156,537,820,561
"gene_98",468,363,581,403,517,197,213,228,175,149,246,245
"gene_99",4106,2836,7527,3794,4252,2470,1258,470,1115,699,1000,680
"gene_100",0,2,1,6,0,5,22,1,4,0,0,17
"gene_101",73,90,107,91,133,50,114,163,157,55,84,58
"gene_102",6113,4104,6900,4989,4586,2686,1379,1632,1279,1317,1516,1226
"gene_103",162,208,214,307,159,125,202,168,329,80,117,116
"gene_104",1943,1647,4148,2617,2180,2676,12239,12315,11750,14382,8764,8282
"gene_105",590,561,639,910,466,330,138,146,118,67,97,115
"gene_106",148,179,360,247,140,172,175,262,315,202,210,237
"gene_107",1070,965,1233,1634,929,810,336,228,227,145,210,180
"gene_108",7,0,17,7,8,16,4,18,17,15,0,12
"gene_109",66,148,121,106,35,68,119,140,108,51,116,79
"gene_110",616,469,603,498,347,511,841,842,784,1202,875,900
"gene_111",2385,2587,4512,3013,1751,1532,1812,1506,2259,1627,2754,1445
"gene_112",773,716,889,810,643,545,745,742,431,461,737,366
"gene_113",267,289,323,232,123,217,207,197,212,201,225,280
"gene_114",1742,2023,1796,2729,967,1628,6495,6566,9275,3117,8171,5770
"gene_115",200,126,454,185,204,145,449,862,674,495,553,439
"gene_116",60,5,13,16,3,5,8,6,15,3,27,18
"gene_117",165,79,261,191,93,152,69,145,56,59,80,49
"gene_118",94,60,90,130,92,124,117,115,176,130,277,115
"gene_119",255,189,347,548,263,209,1053,1939,1923,1166,970,893
"gene_120",160,69,99,95,67,67,77,65,76,143,97,57
"gene_121",638,379,1003,937,372,484,565,868,716,501,453,400
"gene_122",5597,2743,7966,5955,4602,4175,2811,2818,2974,1493,2301,2532
"gene_123",12,6,9,4,2,20,1,0,0,4,8,6
"gene_124",583,485,1234,483,484,517,154,154,139,101,148,97
"gene_125",26,14,67,74,28,22,7,19,15,8,11,2
"gene_126",33,30,51,79,57,28,70,41,21,26,70,41
"gene_127",2,5,4,2,3,12,0,2,0,0,1,0
"gene_128",58,83,170,118,68,55,45,38,84,29,40,54
"gene_129",336,290,422,511,205,219,104,78,109,54,90,58
"gene_130",12,8,15,3,5,1,16,13,21,3,12,1
"gene_131",4190,6316,7075,5375,5915,5322,5500,6477,5292,5579,8079,3200
"gene_132",19,30,69,23,26,27,19,63,9,24,43,25
"gene_133",12,3,0,0,11,3,2,3,0,0,2,7
"gene_134",100,61,307,112,101,96,47,58,47,68,60,105
"gene_135",7085,4927,10667,5358,4527,4279,6772,4952,4097,3682,6376,2866
"gene_136",4006,3546,4809,6412,4427,3464,2145,2645,2198,2567,3172,1718
"gene_137",1802,1762,2905,2055,1545,1379,929,954,1331,712,795,1382
"gene_138",979,628,927,907,756,383,310,564,501,364,398,459
"gene_139",288,314,692,558,298,378,665,441,432,326,467,182
"gene_140",64,119,113,126,52,60,88,42,49,56,48,65
"gene_141",3,4,15,13,5,3,11,20,51,15,21,20
"gene_142",29,17,0,20,4,0,6,0,0,10,9,20
"gene_143",8,4,10,27,8,10,2,2,3,3,0,11
"gene_144",10,9,3,5,3,2,35,8,23,1,48,4
"gene_145",29,28,14,27,6,9,5,9,13,7,13,5
"gene_146",721,456,901,1268,757,330,2439,3528,2687,1976,2482,2756
"gene_147",26,25,20,69,13,32,15,31,12,35,30,5
"gene_148",18,3,7,7,4,4,1,0,4,1,1,1
"gene_149",14,8,38,34,7,25,21,11,7,14,32,17
"gene_150",8,9,17,5,2,0,10,8,19,9,21,6
"gene_151",752,465,949,1429,703,592,655,810,808,399,842,797
"gene_152",4,1,20,2,2,7,5,14,3,0,1,9
"gene_153",73,174,253,152,103,113,89,77,44,14,73,56
"gene_154",424,404,742,441,418,378,558,1049,951,732,683,976
"gene_155",1448,1250,2704,1683,1669,998,1646,2154,1449,1480,1900,1925
"gene_156",5506,5988,9256,5576,3895,5002,6748,7586,7405,3309,5959,5963
"gene_157",9,5,0,2,1,16,3,1,2,5,9,2
"gene_158",1027,1282,2087,1511,1060,1032,4348,3690,4847,2573,4223,3201
"gene_159",75,40,69,32,25,52,70,87,59,34,62,50
"gene_160",128,108,187,102,87,59,64,66,58,42,51,39
"gene_161",4227,3839,2782,4745,1889,2476,1999,2494,2672,1764,2314,1693
"gene_162",54,42,64,61,14,36,55,57,51,31,51,44
"gene_163",443,601,891,669,709,475,3388,1918,3627,3146,2603,1115
"gene_164",196,88,152,134,72,173,106,138,163,113,54,68
"gene_165",61,17,90,63,76,68,21,19,12,18,14,17
"gene_166",1950,2999,4595,2461,2113,1404,6684,10751,9322,8695,11650,9551
"gene_167",126,52,218,124,98,82,20,30,17,11,41,44
"gene_168",165,107,130,91,90,87,436,536,400,512,266,252
"gene_169",750,609,857,1197,700,574,764,935,738,587,706,929
"gene_170",1189,860,1468,1592,948,679,4208,4703,5432,2985,4262,3473
"gene_171",22,27,33,34,25,23,32,37,17,12,11,14
"gene_172",777,1323,2077,2737,1662,1285,437,347,503,273,484,332
"gene_173",30,28,71,77,40,28,187,116,137,100,207,279
"gene_174",57,28,26,34,63,62,21,29,13,7,3,9
"gene_175",4,9,3,9,7,7,18,8,2,8,9,10
"gene_176",119,106,263,262,190,62,40,22,33,17,20,21
"gene_177",306,368,528,296,186,178,340,491,423,165,355,457
"gene_178",65,49,113,49,11,32,39,52,34,26,30,61
"gene_179",1595,1904,2749,1935,2099,1455,2873,4059,1766,1203,2802,2062
"gene_180",589,353,749,545,416,544,233,260,322,245,231,211
"gene_181",176,125,647,193,101,120,165,137,192,198,203,193
"gene_182",5573,5865,9132,3245,4995,5358,23335,22850,13535,19934,26136,13459
"gene_183",4,1,8,4,1,3,4,19,7,9,5,5
"gene_184",343,256,356,334,224,146,244,443,356,242,282,495
"gene_185",795,868,919,1314,675,550,4078,4438,4206,3089,2624,3280
"gene_186",27,10,58,14,3,34,8,3,3,2,4,0
"gene_187",120,161,210,89,38,145,45,190,133,111,103,76
"gene_188",84,157,169,153,161,197,114,227,202,85,158,171
"gene_189",63,71,88,45,58,35,79,90,68,106,58,77
"gene_190",158,122,305,184,120,127,331,193,122,127,144,174
"gene_191",207,109,118,173,88,110,342,564,306,272,410,340
"gene_192",23,21,73,42,16,38,294,61,228,54,75,224
"gene_193",785,868,636,930,618,624,390,392,362,229,516,384
"gene_194",77,31,85,23,51,45,45,41,37,45,87,47
"gene_195",50,23,59,75,23,57,13,20,12,13,13,15
"gene_196",360,466,469,455,199,203,270,432,271,323,355,413
"gene_197",4255,5082,5654,5606,3806,4558,18017,24272,26897,13225,11444,18028
"gene_198",7,3,0,22,9,0,3,54,5,3,0,3
"gene_199",231,169,471,294,105,302,262,338,213,170,363,134
